topword,middleword,bottomword,chosenword,percentage,trial_type,question,response,rt,session,points,trialnum,datetime
,,,,,demographic,automatic user agent check,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36",,1,0,,2022-06-01T16:15:42.957Z
 cheap,to carry, naked, cheap,,trial,,,6113.200000017881,1,0,2,2022-06-01T16:16:07.105Z
to carry, cheap, truth, truth,,trial,,,4154.899999976158,1,1,3,2022-06-01T16:16:11.260Z
blue, truth, cheap,blue,,trial,,,4095.9000000059605,1,11,4,2022-06-01T16:16:15.356Z
 truth,blue,to hear, truth,,trial,,,5039.200000017881,1,12,5,2022-06-01T16:16:20.395Z
rooster,lamb,dolphin,,5,feedback,,,4695.5,1,13,6,2022-06-01T16:16:29.551Z
,,,,,demographic,what is your age?,30,4110.299999982119,1,30,,2022-06-01T16:16:40.623Z
 sad,to hear,yellow, sad,,trial,,,8117.699999988079,1,30,7,2022-06-01T16:16:48.747Z
to hear, sad, under,to hear,,trial,,,3849.2000000178814,1,31,8,2022-06-01T16:16:52.596Z
alligator,iguana,coyote,,100,feedback,,,6795,1,32,9,2022-06-01T16:16:59.404Z
,,,,,demographic,what is your gender?,male,2224.7000000178814,1,89,,2022-06-01T16:17:04.605Z
 famous,a gift, source, source,,trial,,,4807.4000000059605,1,89,10,2022-06-01T16:17:09.424Z
to read, source,a gift,a gift,,trial,,,7831.300000011921,1,99,11,2022-06-01T16:17:17.255Z
crocodile,gorilla,fawn,,0,feedback,,,3727,1,109,12,2022-06-01T16:17:20.993Z
,,,,,demographic,what languages do you speak?,English,4451,1,127,,2022-06-01T16:17:26.609Z
to destroy, dirt, clever, clever,,trial,,,5253.4000000059605,1,127,13,2022-06-01T16:17:31.869Z
to speak, clever, dirt, dirt,,trial,,,3878.4000000059605,1,137,14,2022-06-01T16:17:35.747Z
lion,goat,chicken,,100,feedback,,,2949.199999988079,1,147,15,2022-06-01T16:17:38.706Z
,,,,,demographic,what is the highest level ofeducation you have completed?,2_highschool,1958.2000000178814,1,168,,2022-06-01T16:17:41.671Z
 thick,white,a story, thick,,trial,,,2633.4000000059605,1,168,16,2022-06-01T16:17:44.310Z
white, thick,a mistake,white,,trial,,,2059.300000011921,1,169,17,2022-06-01T16:17:46.369Z
lobster,dolphin,elephant,,0,feedback,,,3491.899999976158,1,170,18,2022-06-01T16:17:49.876Z
,,,,,demographic,what is your first/native language?,English,4827.800000011921,1,181,,2022-06-01T16:17:55.576Z
 pain, dish,a reason, pain,,trial,,,5330,1,181,19,2022-06-01T16:18:00.917Z
 dish, pain,the ground, dish,,trial,,,2298.0999999940395,1,182,20,2022-06-01T16:18:03.215Z
fawn,horse,peacock,,100,feedback,,,2484.300000011921,1,183,21,2022-06-01T16:18:05.713Z
,,,,,demographic,what country do you currently live in?,United States of America,7092.200000017881,1,240,,2022-06-01T16:18:13.708Z
red,a boot,a message,red,,trial,,,3612.600000023842,1,240,22,2022-06-01T16:18:17.332Z
a boot,red, memory,a boot,,trial,,,1477.0999999940395,1,241,23,2022-06-01T16:18:18.809Z
horse,pony,rooster,,100,feedback,,,2368.7000000178814,1,242,24,2022-06-01T16:18:21.204Z
,,,,,demographic,do you have any comments for us?,,1648.5999999940395,1,325,,2022-06-01T16:18:23.718Z
a nose,to win, weak, weak,,trial,,,3964.899999976158,1,325,25,2022-06-01T16:18:27.689Z
a business, weak,to win,to win,,trial,,,3793.300000011921,1,335,26,2022-06-01T16:18:31.482Z
peacock,crocodile,iguana,,0,feedback,,,2191.4000000059605,1,345,27,2022-06-01T16:18:33.692Z
to know,a message, power,to know,,trial,,,5872.0999999940395,1,402,28,2022-06-01T16:18:40.436Z
a message,to know, sad,a message,,trial,,,1545.300000011921,1,403,29,2022-06-01T16:18:41.981Z
gorilla,sheep,chicken,,100,feedback,,,2629.9000000059605,1,404,30,2022-06-01T16:18:44.624Z
