sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"0,84,50,57","true,true,true,true","5264.79999999702,4383.899999991059,2433.9000000059605,2912.7999999970198",50,"doll,doll,doll,doll",100,12,0,type1,"brush,brush,brush,brush","toy,pen,radio,hammer",80% type 1/20% type 3,47,3
"13,43,24,44","true,true,true,true","2920.9000000059605,2588.5999999940395,3882.2999999970198,2707.6000000089407",50,"coat,coat,coat,coat",100,12,0,type3,"radio,radio,radio,radio","shirt,necklace,gloves,belt",80% type 1/20% type 3,59,4
"50,50,45,37","true,true,true,true","2503.699999988079,2183.7000000029802,3349,2853.9000000059605",50,"submarine,submarine,submarine,submarine",100,12,0,type1,"ship,ship,ship,ship","wagon,bike,airplane,train",80% type 1/20% type 3,43,5
"61,50,42,51","true,true,true,true","3239.5,2411.7999999970198,2183.7999999970198,2377.6000000089407",50,"snail,snail,snail,snail",100,12,0,type1,"turtle,turtle,turtle,turtle","elephant,octopus,clam,zebra",80% type 1/20% type 3,52,6
"47,45,56,50","true,true,true,true","2426.699999988079,2377.7000000029802,2441.5,2208.0999999940395",50,"alligator,alligator,alligator,alligator",100,12,0,type1,"squirrel,squirrel,squirrel,squirrel","dolphin,elephant,mouse,clam",80% type 1/20% type 3,17,7
"50,50,27,50","true,true,true,true","2772.5,1367.5999999940395,2450.2000000029802,1899.5",50,"brush,brush,brush,brush",100,12,0,type3,"door,door,door,door","toy,radio,pen,hammer",80% type 1/20% type 3,64,8
"84,84,22,85","true,true,true,true","4428.29999999702,6163.399999991059,2241.4000000059605,1874.7000000029802",50,"wagon,wagon,wagon,wagon",100,12,0,type1,"airplane,airplane,airplane,airplane","train,ship,bike,submarine",80% type 1/20% type 3,36,9
"86,52,67,44","true,true,true,true","3067.5999999940395,4270.100000008941,2281.5,2027.5",50,"clam,clam,clam,clam",100,12,0,type1,"lion,lion,lion,lion","fox,alligator,elephant,snail",80% type 1/20% type 3,10,10
"73,70,30,65","true,true,true,true","2448.699999988079,4075.7000000029802,2814.2000000029802,2748.9000000059605",50,"necklace,necklace,necklace,necklace",100,12,0,type1,"gloves,gloves,gloves,gloves","dress,coat,belt,shirt",80% type 1/20% type 3,28,11
"59,86,50,50","true,true,true,true","3235.5,2772.7000000029802,1967.0999999940395,1793.6000000089407",50,"dolphin,dolphin,dolphin,dolphin",100,12,0,type1,"lion,lion,lion,lion","squirrel,buffalo,mouse,snail",80% type 1/20% type 3,45,12
"59,92,93,12","true,true,true,true","3830.4000000059605,3566.2000000029802,2717.3999999910593,3597.5",50,"oven,oven,oven,oven",100,12,0,type1,"dish,dish,dish,dish","scissors,fork,knife,pot",80% type 1/20% type 3,37,13
"49,50,61,68","true,true,true,true","5435.4000000059605,2459.2000000029802,3145.5999999940395,2489.7000000029802",50,"cabinet,cabinet,cabinet,cabinet",100,12,0,type1,"door,door,door,door","chair,cushion,desk,couch",80% type 1/20% type 3,18,14
"94,48,50,96","true,true,true,true","2539.9000000059605,6591.399999991059,1691,2206.4000000059605",50,"pot,pot,pot,pot",100,12,0,type1,"dish,dish,dish,dish","fork,oven,scissors,knife",80% type 1/20% type 3,30,15
"57,88,50,72","true,true,true,true","5315,3089.2999999970198,2296.9000000059605,3549.5",50,"belt,belt,belt,belt",100,12,0,type1,"gloves,gloves,gloves,gloves","shirt,coat,dress,necklace",80% type 1/20% type 3,42,16
"17,50,62,56","true,true,true,true","5386.899999991059,2515.4000000059605,3299.7000000029802,2651.5999999940395",50,"work,work,work,work",100,12,0,type1,"protect,protect,protect,protect","exist,use,make,allow",80% type 1/20% type 3,34,17
