sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"67,81,63,66","true,true,true,true","5209.799999982119,4624.4000000059605,4126,6339.5999999940395",50,"scissors,scissors,scissors,scissors",100,12,0,type1,"knife,knife,knife,knife","oven,fork,pot,dish",80% type 1/20% type 3,18,3
"88,80,87,76","true,true,true,true","4278.200000017881,2922.5999999940395,2480.5,3144.0999999940395",50,"knife,knife,knife,knife",100,12,0,type3,"dress,dress,dress,dress","shirt,coat,gloves,necklace",80% type 1/20% type 3,65,4
"12,27,71,35","true,true,true,true","4880.899999976158,3145.300000011921,3501.9000000059605,3096.9000000059605",50,"dress,dress,dress,dress",100,12,0,type1,"necklace,necklace,necklace,necklace","coat,shirt,belt,gloves",80% type 1/20% type 3,47,5
"62,64,58,57","true,true,true,true","4207.4000000059605,3091.199999988079,5588.5,3456.5999999940395",50,"make,make,make,make",100,12,0,type3,"dish,dish,dish,dish","oven,pot,fork,scissors",80% type 1/20% type 3,56,6
"77,25,41,58","true,true,true,true","5396.799999982119,3291,2810.5,2791",50,"pen,pen,pen,pen",100,12,0,type3,"exist,exist,exist,exist","doll,brush,radio,toy",80% type 1/20% type 3,61,7
0,true,4331.9000000059605,50,left,100,12,0,catch,right,move this slider to the left,80% type 1/20% type 3,5,8
"62,64,95,64","true,true,true,true","3773.4000000059605,3757.4000000059605,3566.199999988079,3199.9000000059605",50,"radio,radio,radio,radio",100,12,0,type1,"toy,toy,toy,toy","pen,brush,doll,hammer",80% type 1/20% type 3,42,9
"22,33,80,40","true,true,true,true","5479.699999988079,5563,6199.5,2269.5999999940395",50,"snail,snail,snail,snail",100,12,0,type1,"buffalo,buffalo,buffalo,buffalo","squirrel,clam,zebra,turtle",80% type 1/20% type 3,41,10
"68,60,40,37","true,true,true,true","6164.200000017881,4214.899999976158,8037.4000000059605,2856.9000000059605",50,"make,make,make,make",100,12,0,type1,"allow,allow,allow,allow","use,find,protect,exist",80% type 1/20% type 3,51,11
"67,70,68,68","true,false,true,true","4641.5,2056.9000000059605,3540,2355.4000000059605",50,"desk,desk,desk,desk",100,12,0,type3,"exist,exist,exist,exist","use,find,protect,make",80% type 1/20% type 3,60,12
"66,62,36,39","true,true,true,true","3179.5,3075.5999999940395,4913.200000017881,2976.199999988079",50,"octopus,octopus,octopus,octopus",100,12,0,type1,"alligator,alligator,alligator,alligator","lion,snail,dolphin,clam",80% type 1/20% type 3,48,13
"35,59,38,50","true,true,true,true","3887.300000011921,5066.0999999940395,2978.7000000178814,7825.0999999940395",50,"cushion,cushion,cushion,cushion",100,12,0,type1,"couch,couch,couch,couch","chair,door,cabinet,desk",80% type 1/20% type 3,43,14
"62,60,67,82","true,true,true,true","2945.199999988079,3668.5999999940395,2914.5,2261.100000023842",50,"coat,coat,coat,coat",100,12,0,type3,"wagon,wagon,wagon,wagon","train,airplane,ship,submarine",80% type 1/20% type 3,55,15
"27,31,65,66","true,true,true,true","4865.300000011921,3412.199999988079,6134.0999999940395,3184.300000011921",50,"find,find,find,find",100,12,0,type1,"protect,protect,protect,protect","work,use,allow,exist",80% type 1/20% type 3,37,16
"17,17,15,36","true,true,true,true","3959.2000000178814,2969.7999999821186,2520,3939.9000000059605",50,"pot,pot,pot,pot",100,12,0,type3,"buffalo,buffalo,buffalo,buffalo","oven,knife,dish,scissors",80% type 1/20% type 3,63,17
"63,64,97,56","true,true,true,true","2946.100000023842,2464,2200.0999999940395,2341.5",50,"brush,brush,brush,brush",100,12,0,type1,"toy,toy,toy,toy","radio,pen,doll,hammer",80% type 1/20% type 3,7,18
"25,63,16,29","true,true,true,true","4447.399999976158,7427.300000011921,2593.9000000059605,2035.699999988079",50,"airplane,airplane,airplane,airplane",100,12,0,type1,"bike,bike,bike,bike","submarine,wagon,ship,train",80% type 1/20% type 3,24,19
"75,25,80,87","true,true,true,true","3075.4000000059605,4359.700000017881,2119.5,2051.699999988079",50,"bike,bike,bike,bike",100,12,0,type1,"airplane,airplane,airplane,airplane","train,wagon,ship,submarine",80% type 1/20% type 3,52,20
"56,66,50,26","true,true,true,true","4376.200000017881,3797.699999988079,3362.5,4174.300000011921",50,"submarine,submarine,submarine,submarine",100,12,0,type1,"train,train,train,train","wagon,airplane,bike,ship",80% type 1/20% type 3,45,21
"34,38,0,39","true,true,true,true","2821.4000000059605,2216.300000011921,2392.2999999821186,2912.300000011921",50,"toy,toy,toy,toy",100,12,0,type1,"radio,radio,radio,radio","brush,hammer,doll,pen",80% type 1/20% type 3,28,22
"34,30,30,28","true,true,true,true","2747.399999976158,2101.600000023842,2346.7999999821186,2622.9000000059605",50,"fork,fork,fork,fork",100,12,0,type1,"scissors,scissors,scissors,scissors","dish,oven,pot,knife",80% type 1/20% type 3,39,23
"21,56,55,33","true,true,true,true","3953.699999988079,2457.600000023842,2232.199999988079,3882.699999988079",50,"buffalo,buffalo,buffalo,buffalo",100,12,0,type1,"octopus,octopus,octopus,octopus","elephant,turtle,snail,mouse",80% type 1/20% type 3,27,24
"33,100,33,36","true,true,true,true","3201.300000011921,1965.8999999761581,3654.100000023842,5239.799999982119",50,"pen,pen,pen,pen",100,12,0,type1,"doll,doll,doll,doll","hammer,toy,radio,brush",80% type 1/20% type 3,35,25
100,true,2705.4000000059605,50,left,100,12,0,catch,right,move this slider to the right,80% type 1/20% type 3,4,26
"72,57,61,28","true,true,true,true","4044.5,2937.0999999940395,2246.600000023842,2302.399999976158",50,"submarine,submarine,submarine,submarine",100,12,0,type1,"train,train,train,train","airplane,wagon,bike,ship",80% type 1/20% type 3,38,27
