sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"66,30,31,41","true,true,true,true","5661.5999999940395,5072.699999988079,5335.5,5271.0999999940395",50,"zebra,zebra,zebra,zebra",100,12,0,random,"fox,fox,fox,fox","coat,radio,shirt,couch",random,38,3
"44,61,61,78","true,true,true,true","5872.4000000059605,4746.0999999940395,6626.4000000059605,4496.5",50,"dress,dress,dress,dress",100,12,0,random,"alligator,alligator,alligator,alligator","bike,snail,clam,lion",random,19,4
"38,28,65,39","true,true,true,true","7255.9000000059605,5448,5913.200000017881,5598.899999976158",50,"brush,brush,brush,brush",100,12,0,random,"octopus,octopus,octopus,octopus","mouse,cabinet,pot,belt",random,29,5
"80,71,34,61","true,true,true,true","4825.4000000059605,5199.200000017881,4321.899999976158,3218",50,"squirrel,squirrel,squirrel,squirrel",100,12,0,random,"airplane,airplane,airplane,airplane","wagon,radio,octopus,belt",random,13,6
"37,39,63,29","true,true,true,true","5262.4000000059605,4572.0999999940395,5900.799999982119,4886.200000017881",50,"pen,pen,pen,pen",100,12,0,random,"shirt,shirt,shirt,shirt","train,submarine,octopus,brush",random,18,7
"17,66,37,39","true,true,true,true","9648,5125.399999976158,5787.9000000059605,7666.300000011921",50,"submarine,submarine,submarine,submarine",100,12,0,random,"couch,couch,couch,couch","protect,fox,doll,bike",random,36,8
"39,43,60,67","true,true,true,true","5254.700000017881,5312.799999982119,4660,4495.5999999940395",50,"chair,chair,chair,chair",100,12,0,random,"octopus,octopus,octopus,octopus","train,hammer,find,lion",random,45,9
"40,41,73,63","true,true,true,true","5559.300000011921,4310.299999982119,3920.100000023842,4334.399999976158",50,"make,make,make,make",100,12,0,random,"elephant,elephant,elephant,elephant","submarine,hammer,fox,alligator",random,37,10
"66,38,70,62","true,true,true,true","7003,6527.300000011921,5951.899999976158,6087",50,"ship,ship,ship,ship",100,12,0,random,"train,train,train,train","pen,exist,work,buffalo",random,63,11
"32,68,38,64","true,true,true,true","5979.700000017881,6878.299999982119,4696.700000017881,5386.0999999940395",50,"desk,desk,desk,desk",100,12,0,random,"exist,exist,exist,exist","brush,buffalo,use,squirrel",random,54,12
"71,65,35,49","true,true,true,true","5286.4000000059605,6665.5,4986.399999976158,6925.600000023842",50,"dress,dress,dress,dress",100,12,0,random,"buffalo,buffalo,buffalo,buffalo","toy,snail,protect,fork",random,42,13
"66,65,40,59","true,true,true,true","3357.9000000059605,4009.5999999940395,3545.699999988079,5736",50,"pot,pot,pot,pot",100,12,0,random,"elephant,elephant,elephant,elephant","squirrel,zebra,bike,train",random,60,14
0,true,5323.800000011921,50,left,100,12,0,catch,right,move this slider to the left,random,3,15
"64,62,56,66","true,true,true,true","3207.5999999940395,6729.0999999940395,3520.100000023842,9683.699999988079",50,"buffalo,buffalo,buffalo,buffalo",100,12,0,random,"necklace,necklace,necklace,necklace","desk,pen,doll,ship",random,61,16
