sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"50,50,50,100","false,false,false,true","3835.7999999523163,2428.800000190735,2474.899999856949,3055.100000143051",50,"oven,oven,oven,oven",100,12,0,random,"desk,desk,desk,desk","snail,alligator,wagon,cabinet",random,14,3
"50,50,100,50","false,false,true,false","2851.100000143051,2547.5999999046326,4019.9000000953674,2213",50,"ship,ship,ship,ship",100,12,0,random,"train,train,train,train","pen,exist,work,buffalo",random,63,4
"100,0,50,100","true,true,false,true","9078.900000095367,3665.7999999523163,2487.2000000476837,4574.399999856949",50,"make,make,make,make",100,12,0,random,"elephant,elephant,elephant,elephant","submarine,hammer,fox,alligator",random,37,5
"50,50,0,50","false,false,true,false","3580.7999999523163,2643.4000000953674,4146.799999952316,2547.7000000476837",50,"submarine,submarine,submarine,submarine",100,12,0,random,"gloves,gloves,gloves,gloves","make,fork,clam,desk",random,43,6
"50,50,100,50","true,true,false,true","4559.399999856949,1659.2000000476837,3356.699999809265,2130.300000190735",50,"cushion,cushion,cushion,cushion",100,12,0,random,"buffalo,buffalo,buffalo,buffalo","bike,knife,squirrel,scissors",random,23,7
"100,50,50,100","true,false,false,true","5104.5,2437.5999999046326,3255.2999999523163,3136",50,"belt,belt,belt,belt",100,12,0,random,"shirt,shirt,shirt,shirt","dress,knife,brush,gloves",random,31,8
"50,50,50,49","false,false,false,false","3148.2000000476837,2634.5999999046326,1987.4000000953674,10342.799999952316",50,"snail,snail,snail,snail",100,12,0,random,"exist,exist,exist,exist","work,fox,brush,doll",random,53,9
"50,50,50,100","false,false,false,true","4951.400000095367,1969.2999999523163,1994.7999999523163,5328.400000095367",50,"hammer,hammer,hammer,hammer",100,12,0,random,"couch,couch,couch,couch","elephant,oven,radio,wagon",random,47,10
"100,0,100,0","true,true,true,true","6076.299999952316,5361.799999952316,3680.100000143051,5798.599999904633",50,"lion,lion,lion,lion",100,12,0,random,"mouse,mouse,mouse,mouse","squirrel,necklace,cabinet,chair",random,27,11
"100,50,100,100","true,false,true,true","4921.700000047684,2650.600000143051,4587,3709.899999856949",50,"clam,clam,clam,clam",100,12,0,random,"coat,coat,coat,coat","zebra,radio,fox,necklace",random,8,12
"50,50,48,50","false,false,false,false","3037.2999999523163,2473.9000000953674,4919.5,2077.899999856949",50,"fork,fork,fork,fork",100,12,0,random,"shirt,shirt,shirt,shirt","cushion,oven,elephant,pen",random,57,13
"100,100,50,100","true,true,false,true","7416.100000143051,6003.700000047684,2614.0999999046326,3403.2999999523163",50,"work,work,work,work",100,12,0,random,"oven,oven,oven,oven","octopus,knife,find,cabinet",random,15,14
"100,50,0,0","true,false,true,true","9408.400000095367,2442.7999999523163,3048.5,5453.5",50,"bike,bike,bike,bike",100,12,0,random,"alligator,alligator,alligator,alligator","turtle,radio,cushion,work",random,21,15
"50,100,0,50","false,true,true,false","10211.399999856949,2663.7000000476837,2634.5999999046326,2114.100000143051",50,"coat,coat,coat,coat",100,12,0,random,"elephant,elephant,elephant,elephant","find,squirrel,fox,radio",random,40,16
"50,50,100,50","false,false,true,false","3601.600000143051,5846.399999856949,2172.4000000953674,2019.9000000953674",50,"protect,protect,protect,protect",100,12,0,random,"clam,clam,clam,clam","belt,cabinet,elephant,radio",random,16,17
"0,50,50,0","true,false,false,true","6158.399999856949,2644,2162.100000143051,2917.2999999523163",50,"dish,dish,dish,dish",100,12,0,random,"buffalo,buffalo,buffalo,buffalo","work,couch,necklace,clam",random,49,18
"50,50,100,50","false,,true,false","3945.2000000476837,,4970.900000095367,4316.700000047684",50,"toy,toy,toy,toy",100,12,0,random,"door,door,door,door","gloves,zebra,submarine,alligator",random,12,19
"0,100,0,100","true,true,true,true","2982.2999999523163,2767.9000000953674,2942.7999999523163,2204.5",50,"desk,desk,desk,desk",100,12,0,random,"exist,exist,exist,exist","brush,buffalo,use,squirrel",random,54,20
"0,100,0,100","true,true,true,true","3826.0999999046326,3543.7000000476837,2642.5,2811.5",50,"lion,lion,lion,lion",100,12,0,random,"find,find,find,find","exist,dress,protect,chair",random,24,21
"50,100,100,100","false,true,true,true","2116.4000000953674,2384.5,1929.7000000476837,2797.7000000476837",50,"dress,dress,dress,dress",100,12,0,random,"alligator,alligator,alligator,alligator","bike,snail,clam,lion",random,19,22
"0,47,0,100","true,false,true,true","4238,4816.200000047684,4454.899999856949,10059.800000190735",50,"desk,desk,desk,desk",100,12,0,random,"door,door,door,door","use,fox,dress,find",random,64,23
"100,43,0,50","true,false,true,false","3027.0999999046326,5170.799999952316,2650.7999999523163,1552.5",50,"pot,pot,pot,pot",100,12,0,random,"fork,fork,fork,fork","allow,wagon,use,elephant",random,33,24
"100,100,100,0","true,true,true,true","5382.799999952316,1863,2635.5,2397",50,"octopus,octopus,octopus,octopus",100,12,0,random,"cabinet,cabinet,cabinet,cabinet","fork,scissors,knife,fox",random,50,25
"50,0,0,50","false,true,true,false","2170.0999999046326,2641.4000000953674,3997.7999999523163,4766.700000047684",50,"snail,snail,snail,snail",100,12,0,random,"belt,belt,belt,belt","radio,zebra,fox,protect",random,10,26
"50,0,50,100","false,true,false,true","4480.200000047684,1970.5,2909.5999999046326,3028.5999999046326",50,"chair,chair,chair,chair",100,12,0,random,"scissors,scissors,scissors,scissors","lion,couch,turtle,work",random,9,27
"100,100,50,50","true,true,false,false","2552.7000000476837,1608.7999999523163,2008.4000000953674,3002.4000000953674",50,"dress,dress,dress,dress",100,12,0,random,"octopus,octopus,octopus,octopus","submarine,squirrel,hammer,brush",random,66,28
"50,100,100,100",",true,true,true",",5886.5,3687.600000143051,2397.199999809265",50,"gloves,gloves,gloves,gloves",100,12,0,random,"desk,desk,desk,desk","allow,pen,scissors,chair",random,58,29
"100,0,50,0","true,true,false,true","4909,3247.5,4300.700000047684,2055",50,"octopus,octopus,octopus,octopus",100,12,0,random,"find,find,find,find","dress,squirrel,make,turtle",random,56,30
"56,50,50,0","false,false,false,true","2745.7999999523163,1462.7999999523163,1396.5,4937.599999904633",50,"make,make,make,make",100,12,0,random,"find,find,find,find","elephant,lion,dolphin,oven",random,7,31
"50,50,100,0","false,true,true,true","2759.7000000476837,1595.0999999046326,6555.900000095367,3650.399999856949",50,"fork,fork,fork,fork",100,12,0,random,"squirrel,squirrel,squirrel,squirrel","allow,radio,airplane,pot",random,65,32
"0,100,100,0","true,true,true,true","7419.799999952316,3469,2632.2000000476837,2973.9000000953674",50,"couch,couch,couch,couch",100,12,0,random,"make,make,make,make","bike,allow,desk,oven",random,35,33
"100,100,0,0","true,true,true,true","2257.5,2205.9000000953674,2323.5999999046326,3759.7999999523163",50,"turtle,turtle,turtle,turtle",100,12,0,random,"zebra,zebra,zebra,zebra","mouse,bike,clam,train",random,22,34
"50,0,50,100","false,true,false,true","2326.2999999523163,3905.399999856949,3024.600000143051,2347.7000000476837",50,"use,use,use,use",100,12,0,random,"dish,dish,dish,dish","buffalo,submarine,elephant,airplane",random,25,35
"0,100,50,0","true,true,false,true","2713.2999999523163,5360.700000047684,5496.400000095367,2354.7999999523163",50,"make,make,make,make",100,12,0,random,"chair,chair,chair,chair","use,elephant,zebra,scissors",random,34,36
"100,0,100,100","true,true,true,true","5563.399999856949,4899.600000143051,3022.5999999046326,2308.5999999046326",50,"snail,snail,snail,snail",100,12,0,random,"dress,dress,dress,dress","find,lion,desk,doll",random,32,37
"100,50,0,0","true,false,true,true","3242.2999999523163,1805.2000000476837,3300.2999999523163,3126.7000000476837",50,"zebra,zebra,zebra,zebra",100,12,0,random,"fox,fox,fox,fox","coat,radio,shirt,couch",random,38,38
"0,0,100,100","true,true,true,true","5026.700000047684,2239.0999999046326,1665,2170.600000143051",50,"mouse,mouse,mouse,mouse",100,12,0,random,"lion,lion,lion,lion","octopus,doll,protect,wagon",random,48,39
"100,100,100,100","true,true,true,true","3072.699999809265,4071.600000143051,3730.7000000476837,3824.5999999046326",50,"pot,pot,pot,pot",100,12,0,random,"elephant,elephant,elephant,elephant","squirrel,zebra,bike,train",random,60,40
"100,50,0,0","true,false,true,true","5337.200000047684,3856.9000000953674,2714.699999809265,4076.100000143051",50,"work,work,work,work",100,12,0,random,"knife,knife,knife,knife","lion,coat,cushion,train",random,28,41
"2,50,100,50","true,false,true,false","9615.299999952316,3408.9000000953674,11776,2169.7000000476837",50,"submarine,submarine,submarine,submarine",100,12,0,random,"couch,couch,couch,couch","protect,fox,doll,bike",random,36,42
"0,100,100,0","true,true,true,true","2608,2116.2999999523163,2709.5999999046326,2867.600000143051",50,"submarine,submarine,submarine,submarine",100,12,0,random,"pen,pen,pen,pen","fox,exist,dress,snail",random,46,43
"100,100,48,50","true,true,false,false","2275.5,4721.5,3357.7000000476837,3688.100000143051",50,"dress,dress,dress,dress",100,12,0,random,"buffalo,buffalo,buffalo,buffalo","toy,snail,protect,fork",random,42,44
0,true,4989.699999809265,50,left,100,12,0,catch,right,move this slider to the left,random,3,45
"100,100,0,100","true,true,true,true","2742.9000000953674,9543,4831.5,5115.099999904633",50,"desk,desk,desk,desk",100,12,0,random,"radio,radio,radio,radio","hammer,use,knife,dish",random,39,46
"100,0,0,0","true,true,true,true","3328.100000143051,3692.2999999523163,2104.7000000476837,3860.7999999523163",50,"brush,brush,brush,brush",100,12,0,random,"octopus,octopus,octopus,octopus","mouse,cabinet,pot,belt",random,29,47
"100,100,100,100","true,true,false,true","2446.399999856949,2248.100000143051,4804.899999856949,5413.799999952316",50,"oven,oven,oven,oven",100,12,0,random,"couch,couch,couch,couch","zebra,coat,dish,dress",random,44,48
0,true,2599.399999856949,50,left,100,12,0,catch,right,move this slider to the left,random,5,49
"100,50,50,100","true,false,false,true","4067.0999999046326,7181.200000047684,2975.5,2796",50,"octopus,octopus,octopus,octopus",100,12,0,random,"allow,allow,allow,allow","coat,chair,radio,gloves",random,52,50
"100,100,50,0","true,true,false,true","4595.799999952316,2640,3934.5,6264.400000095367",50,"shirt,shirt,shirt,shirt",100,12,0,random,"train,train,train,train","toy,ship,dish,cabinet",random,51,51
100,true,4235,50,left,100,12,0,catch,right,move this slider to the right,random,4,52
"1,50,100,50","true,false,true,false","2949.7999999523163,2365.7999999523163,1751.7999999523163,2089.9000000953674",50,"coat,coat,coat,coat",100,12,0,random,"squirrel,squirrel,squirrel,squirrel","work,pot,turtle,radio",random,26,53
"100,100,51,50","true,true,false,false","2790.5999999046326,1941.7000000476837,5490,1618.7999999523163",50,"cabinet,cabinet,cabinet,cabinet",100,12,0,random,"fork,fork,fork,fork","find,knife,toy,radio",random,55,54
"50,0,100,5","false,true,true,true","2843.2000000476837,4396,2087.0999999046326,10499.799999952316",50,"shirt,shirt,shirt,shirt",100,12,0,random,"scissors,scissors,scissors,scissors","train,chair,necklace,find",random,30,55
"50,0,100,100","false,true,true,true","8998.699999809265,3110.7000000476837,2408,2461.7000000476837",50,"submarine,submarine,submarine,submarine",100,12,0,random,"exist,exist,exist,exist","shirt,alligator,fox,train",random,59,56
