sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"41,27,89,13","true,true,true,true","6038,8027,4588,5455",50,"mouse,mouse,mouse,mouse",100,12,0,random,"lion,lion,lion,lion","doll,pot,zebra,make",random,30,3
"31,15,17,18","true,true,true,true","5964,5715,5817,3525.000000000029",50,"radio,radio,radio,radio",100,12,0,random,"snail,snail,snail,snail","doll,fork,scissors,toy",random,9,4
"19,22,93,30","true,true,true,true","3981.000000000029,4619.999999999971,3225,5280.000000000029",50,"pot,pot,pot,pot",100,12,0,random,"buffalo,buffalo,buffalo,buffalo","desk,wagon,squirrel,doll",random,65,5
"15,84,33,86","true,true,true,true","4705,5947,6615,7781",50,"alligator,alligator,alligator,alligator",100,12,0,random,"mouse,mouse,mouse,mouse","belt,wagon,couch,oven",random,41,6
"84,17,54,74","true,true,true,true","8995.99999999997,2686,4572,3237",50,"toy,toy,toy,toy",100,12,0,random,"protect,protect,protect,protect","snail,couch,ship,squirrel",random,40,7
100,true,8011,50,left,100,12,0,catch,right,move this slider to the right,random,6,8
"55,50,35,43","true,true,true,true","4942,3901,4331,5295",50,"scissors,scissors,scissors,scissors",100,12,0,random,"allow,allow,allow,allow","wagon,protect,cabinet,shirt",random,54,9
"69,34,39,28","true,true,true,true","4233,3904,10042,6017",50,"brush,brush,brush,brush",100,12,0,random,"ship,ship,ship,ship","cabinet,protect,buffalo,zebra",random,8,10
"50,90,4,29","true,true,true,true","4139.000000000058,3794.999999999942,4907,6044",50,"bike,bike,bike,bike",100,12,0,random,"exist,exist,exist,exist","cabinet,alligator,ship,couch",random,43,11
"19,60,94,25","true,true,true,true","3321,3371.000000000058,3029,3983.999999999942",50,"toy,toy,toy,toy",100,12,0,random,"radio,radio,radio,radio","alligator,shirt,mouse,protect",random,64,12
"50,90,72,8","true,true,true,true","2946,3196,3167,3125",50,"buffalo,buffalo,buffalo,buffalo",100,12,0,random,"pot,pot,pot,pot","coat,fork,airplane,turtle",random,33,13
"50,14,50,71","true,true,true,true","3242,3815,1689,2831",50,"lion,lion,lion,lion",100,12,0,random,"find,find,find,find","dish,snail,airplane,oven",random,32,14
"50,78,50,50","true,true,true,","2682,4224,3509,,12017",50,"pen,pen,pen,pen",100,12,0,random,"knife,knife,knife,knife","squirrel,scissors,toy,wagon",random,45,15
"77,77,50,50","true,true,true,true","5101,3733,4608,1796",50,"door,door,door,door",100,12,0,random,"use,use,use,use","make,find,dolphin,lion",random,55,16
"65,50,27,76","true,true,true,true","4552.999999999942,2026,3415,10883",50,"chair,chair,chair,chair",100,12,0,random,"belt,belt,belt,belt","clam,toy,airplane,work",random,35,17
"50,50,50,50","true,true,true,true","3373.999999999942,1637,1886,1844",50,"allow,allow,allow,allow",100,12,0,random,"find,find,find,find","ship,toy,octopus,squirrel",random,60,18
"31,55,50,50","true,true,true,true","3619.000000000058,5169.999999999942,2747,2188",50,"protect,protect,protect,protect",100,12,0,random,"chair,chair,chair,chair","clam,gloves,belt,work",random,38,19
"50,28,50,50","true,true,true,true","5908,3982,4179,1914",50,"fork,fork,fork,fork",100,12,0,random,"pot,pot,pot,pot","octopus,gloves,snail,alligator",random,48,20
"33,50,50,50","true,true,true,true","3153,1923,3143,1322",50,"mouse,mouse,mouse,mouse",100,12,0,random,"radio,radio,radio,radio","gloves,snail,make,protect",random,34,21
"94,50,72,39","true,true,true,true","3223.000000000058,2282.999999999942,3247,3618",50,"brush,brush,brush,brush",100,12,0,random,"zebra,zebra,zebra,zebra","elephant,radio,exist,hammer",random,52,22
"50,50,50,50","true,true,true,true","2876,2832,2311,1800",50,"necklace,necklace,necklace,necklace",100,12,0,random,"fork,fork,fork,fork","toy,mouse,squirrel,make",random,37,23
"82,50,50,50","true,true,true,true","3497.9999999998836,2670.0000000001164,2262.9999999998836,2905.000000000058",50,"find,find,find,find",100,12,0,random,"dolphin,dolphin,dolphin,dolphin","snail,dress,ship,belt",random,15,24
"14,13,76,15","true,true,true,true","4668,2706,2606,3346",50,"turtle,turtle,turtle,turtle",100,12,0,random,"cushion,cushion,cushion,cushion","dolphin,clam,coat,octopus",random,39,25
"50,50,50,50","true,true,true,true","2693,862,2473,1211",50,"zebra,zebra,zebra,zebra",100,12,0,random,"snail,snail,snail,snail","allow,fox,knife,mouse",random,27,26
"20,64,21,73","true,true,true,true","4179,6193,3977,6985",50,"gloves,gloves,gloves,gloves",100,12,0,random,"doll,doll,doll,doll","hammer,snail,mouse,brush",random,36,27
"34,22,50,89","true,true,true,true","6531.000000000116,2940.9999999998836,1828.0000000001164,3598.9999999998836",50,"cabinet,cabinet,cabinet,cabinet",100,12,0,random,"zebra,zebra,zebra,zebra","wagon,bike,allow,fox",random,47,28
"50,50,50,14","true,true,true,true","3120,1896,2544.0000000001164,5384.999999999884",50,"hammer,hammer,hammer,hammer",100,12,0,random,"mouse,mouse,mouse,mouse","dolphin,ship,bike,knife",random,21,29
