sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"100,0,0,100","true,true,true,true","5200.900000035763,4713.899999976158,5140.099999964237,4181.300000011921",50,"ship,ship,ship,ship",100,12,0,type1,"airplane,airplane,airplane,airplane","train,submarine,wagon,bike",80% type 1/20% type 3,13,3
"0,3,0,0","true,true,true,true","4950.199999988079,6135.699999988079,4697.300000011921,4500.699999988079",50,"train,train,train,train",100,12,0,type1,"bike,bike,bike,bike","wagon,ship,airplane,submarine",80% type 1/20% type 3,41,4
"100,0,0,100","true,true,true,true","5155.700000047684,4833.699999988079,6036.5,4473.899999976158",50,"necklace,necklace,necklace,necklace",100,12,0,type1,"shirt,shirt,shirt,shirt","coat,dress,belt,gloves",80% type 1/20% type 3,45,5
"100,99,0,0","true,true,true,true","4918.300000011921,4062.199999988079,5261.200000047684,5713",50,"couch,couch,couch,couch",100,12,0,type1,"cabinet,cabinet,cabinet,cabinet","door,desk,cushion,chair",80% type 1/20% type 3,15,6
"50,0,0,93","true,true,true,true","4557.100000023842,8127.199999988079,7386.300000011921,7968.699999988079",50,"desk,desk,desk,desk",100,12,0,type1,"cushion,cushion,cushion,cushion","door,chair,cabinet,couch",80% type 1/20% type 3,50,7
"0,0,0,100","true,true,true,true","7748.699999988079,6743.699999988079,7475.199999988079,5055.699999988079",50,"octopus,octopus,octopus,octopus",100,12,0,type1,"clam,clam,clam,clam","lion,snail,squirrel,turtle",80% type 1/20% type 3,21,8
"0,99,90,99","true,true,true,true","7348.100000023842,5561.599999964237,7144.300000011921,4804.100000023842",50,"door,door,door,door",100,12,0,type1,"desk,desk,desk,desk","cushion,couch,cabinet,chair",80% type 1/20% type 3,43,9
"0,0,0,0","true,true,true,true","9035.099999964237,5724,3482.7000000476837,4095.5",50,"snail,snail,snail,snail",100,12,0,type3,"brush,brush,brush,brush","squirrel,mouse,octopus,buffalo",80% type 1/20% type 3,55,10
"0,0,100,100","true,true,true,true","5649.5,5155.300000011921,5221.5,4565.699999988079",50,"couch,couch,couch,couch",100,12,0,type1,"chair,chair,chair,chair","cushion,door,desk,cabinet",80% type 1/20% type 3,29,11
"14,50,50,50","true,true,true,true","5462.5,4464.399999976158,3813.100000023842,3092.199999988079",50,"protect,protect,protect,protect",100,12,0,type1,"work,work,work,work","find,make,use,exist",80% type 1/20% type 3,25,12
