sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"48,69,59,62","true,true,true,true","9364.200000047684,7732.600000143051,5870.799999952316,5243.899999856949",50,"elephant,elephant,elephant,elephant",100,12,0,type1,"zebra,zebra,zebra,zebra","snail,alligator,buffalo,lion",80% type 1/20% type 3,53,3
"50,63,50,64","true,true,true,true","7281.5,10528.399999856949,5372.299999952316,5139.5",50,"hammer,hammer,hammer,hammer",100,12,0,type1,"brush,brush,brush,brush","toy,doll,radio,pen",80% type 1/20% type 3,20,4
"46,65,50,43","true,,true,true","6124.200000047684,,8625,4856.200000047684",50,"toy,toy,toy,toy",100,12,0,type1,"doll,doll,doll,doll","radio,brush,pen,hammer",80% type 1/20% type 3,34,5
"42,33,39,68","true,true,true,true","4506.400000095367,5880.099999904633,6851.799999952316,3091.2000000476837",50,"coat,coat,coat,coat",100,12,0,type1,"belt,belt,belt,belt","gloves,shirt,dress,necklace",80% type 1/20% type 3,22,6
"93,12,13,84","true,true,true,true","9470.799999952316,5563.200000047684,6260.900000095367,4618.199999809265",50,"work,work,work,work",100,12,0,type1,"use,use,use,use","exist,make,find,allow",80% type 1/20% type 3,54,7
"42,43,63,64","true,true,true,true","3918,6329,4618.599999904633,5323.900000095367",50,"buffalo,buffalo,buffalo,buffalo",100,12,0,type1,"snail,snail,snail,snail","squirrel,fox,elephant,mouse",80% type 1/20% type 3,18,8
"50,58,43,50","true,true,true,true","10997,3783.2000000476837,7624.899999856949,6138.100000143051",50,"necklace,necklace,necklace,necklace",100,12,0,type1,"belt,belt,belt,belt","shirt,gloves,dress,coat",80% type 1/20% type 3,15,9
"60,67,36,40","true,true,true,true","5242.5,7847.400000095367,7461,5763.799999952316",50,"cabinet,cabinet,cabinet,cabinet",100,12,0,type1,"cushion,cushion,cushion,cushion","chair,couch,desk,door",80% type 1/20% type 3,23,10
"63,36,36,29","true,true,true,true","7761.299999952316,4144,6279.900000095367,7223.700000047684",50,"scissors,scissors,scissors,scissors",100,12,0,type1,"pot,pot,pot,pot","dish,fork,knife,oven",80% type 1/20% type 3,45,11
0,true,6398.5,50,left,100,12,0,catch,right,move this slider to the left,80% type 1/20% type 3,5,12
100,true,4620.200000047684,50,left,100,12,0,catch,right,move this slider to the right,80% type 1/20% type 3,6,13
"39,41,60,42","true,true,true,true","10381.700000047684,6490.900000095367,4869,4742.899999856949",50,"brush,brush,brush,brush",100,12,0,type1,"doll,doll,doll,doll","radio,hammer,toy,pen",80% type 1/20% type 3,41,14
"59,67,75,32","true,true,true,true","6213.299999952316,3654.800000190735,4185,4002.5",50,"pot,pot,pot,pot",100,12,0,type1,"knife,knife,knife,knife","oven,fork,scissors,dish",80% type 1/20% type 3,38,15
"64,72,20,78","true,true,true,true","4037.699999809265,4867.800000190735,5587.299999952316,4516.100000143051",50,"door,door,door,door",100,12,0,type1,"chair,chair,chair,chair","couch,cushion,cabinet,desk",80% type 1/20% type 3,37,16
"73,70,8,86","true,true,true,true","10815.700000047684,7597.700000047684,10026.599999904633,8243.799999952316",50,"find,find,find,find",100,12,0,type1,"work,work,work,work","allow,use,exist,protect",80% type 1/20% type 3,19,17
"39,77,67,25","true,true,true,true","3823.0999999046326,6876.100000143051,3639.7999999523163,3387.2000000476837",50,"pot,pot,pot,pot",100,12,0,type1,"knife,knife,knife,knife","oven,scissors,fork,dish",80% type 1/20% type 3,24,18
