sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"26,27,76,79","true,true,true,true","8608.09999999404,6014.4000000059605,6907.300000011921,6223",50,"belt,belt,belt,belt",100,12,0,type1,"necklace,necklace,necklace,necklace","coat,gloves,shirt,dress",80% type 1/20% type 3,36,3
"80,25,12,37","true,true,true,true","5463.5,4298.200000017881,5083.5999999940395,4968.199999988079",50,"fork,fork,fork,fork",100,12,0,type1,"knife,knife,knife,knife","scissors,dish,oven,pot",80% type 1/20% type 3,30,4
"33,78,3,0","true,true,true,true","5078.0999999940395,4153.5999999940395,5135,4816.699999988079",50,"cushion,cushion,cushion,cushion",100,12,0,type1,"door,door,door,door","desk,cabinet,chair,couch",80% type 1/20% type 3,32,5
"81,17,36,100","true,true,true,true","4628.699999988079,4355.800000011921,5063.9000000059605,7181.5",50,"desk,desk,desk,desk",100,12,0,type1,"cushion,cushion,cushion,cushion","chair,cabinet,door,couch",80% type 1/20% type 3,53,6
"26,38,16,27","true,true,true,true","5985,4954.5999999940395,5625.4000000059605,5039.800000011921",50,"protect,protect,protect,protect",100,12,0,type3,"elephant,elephant,elephant,elephant","make,exist,allow,work",80% type 1/20% type 3,66,7
"74,66,61,73","true,true,true,true","7449.5,7702.800000011921,11483.09999999404,5789.700000017881",50,"scissors,scissors,scissors,scissors",100,12,0,type3,"octopus,octopus,octopus,octopus","zebra,squirrel,lion,mouse",80% type 1/20% type 3,65,8
"24,2,66,69","true,true,true,true","8399.600000023842,5070.5,4183.5999999940395,7586.4000000059605",50,"couch,couch,couch,couch",100,12,0,type1,"desk,desk,desk,desk","chair,cushion,door,cabinet",80% type 1/20% type 3,39,9
"65,76,72,84","true,true,true,true","6858,6028.9000000059605,9671,8134.799999982119",50,"snail,snail,snail,snail",100,12,0,type3,"find,find,find,find","exist,allow,make,protect",80% type 1/20% type 3,59,10
"90,23,0,28","true,true,true,true","7196.299999982119,5850.800000011921,9823.300000011921,6079.0999999940395",50,"toy,toy,toy,toy",100,12,0,type1,"brush,brush,brush,brush","pen,radio,doll,hammer",80% type 1/20% type 3,10,11
"32,14,4,50","true,true,true,true","7630.300000011921,4897.199999988079,6866.9000000059605,4325.5",50,"scissors,scissors,scissors,scissors",100,12,0,type3,"train,train,train,train","pot,fork,knife,dish",80% type 1/20% type 3,64,12
"0,12,31,36","true,true,true,true","5762.899999976158,6254.300000011921,5524.9000000059605,5119.699999988079",50,"toy,toy,toy,toy",100,12,0,type1,"hammer,hammer,hammer,hammer","doll,radio,pen,brush",80% type 1/20% type 3,52,13
"43,24,33,95","true,true,true,true","11735,9915.200000017881,7610.399999976158,4894.9000000059605",50,"cabinet,cabinet,cabinet,cabinet",100,12,0,type1,"cushion,cushion,cushion,cushion","chair,door,desk,couch",80% type 1/20% type 3,11,14
0,true,7197,50,left,100,12,0,catch,right,move this slider to the left,80% type 1/20% type 3,5,15
"27,13,84,75",",true,true,",",5936.199999988079,8715.100000023842,,12095.59999999404",50,"zebra,zebra,zebra,zebra",100,12,0,type1,"turtle,turtle,turtle,turtle","squirrel,lion,snail,octopus",80% type 1/20% type 3,49,16
"70,66,85,91","true,true,true,true","5834.200000017881,5022.899999976158,6307.100000023842,9204.199999988079",50,"hammer,hammer,hammer,hammer",100,12,0,type3,"desk,desk,desk,desk","cabinet,cushion,couch,chair",80% type 1/20% type 3,56,17
"77,62,75,55","true,true,true,true","4095.7999999821186,4190.200000017881,5287.5999999940395,7793.800000011921",50,"airplane,airplane,airplane,airplane",100,12,0,type3,"chair,chair,chair,chair","cushion,cabinet,door,couch",80% type 1/20% type 3,63,18
"21,70,9,76","true,true,true,true","4738,4204.200000017881,4539.399999976158,10318.600000023842",50,"cushion,cushion,cushion,cushion",100,12,0,type1,"door,door,door,door","chair,cabinet,couch,desk",80% type 1/20% type 3,18,19
"19,34,73,32","true,true,true,true","7916.799999982119,5493.4000000059605,5623.4000000059605,8520.800000011921",50,"use,use,use,use",100,12,0,type1,"exist,exist,exist,exist","allow,make,find,protect",80% type 1/20% type 3,40,20
