sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"10,22,100,20","true,true,true,true","6184.600000000093,4468,2865.399999999907,3913.899999999907",50,"cabinet,cabinet,cabinet,cabinet",100,12,0,random,"zebra,zebra,zebra,zebra","wagon,gloves,lion,find",random,45,3
"25,99,8,84","true,true,true,true","3952,3291.4000000003725,3663.5999999996275,3696.5",50,"gloves,gloves,gloves,gloves",100,12,0,random,"turtle,turtle,turtle,turtle","radio,submarine,hammer,mouse",random,9,4
0,true,3063.100000000093,50,left,100,12,0,catch,right,move this slider to the left,random,3,5
"4,0,0,84","true,true,true,true","3336.3000000002794,3081.600000000093,2703.399999999907,3629.899999999907",50,"desk,desk,desk,desk",100,12,0,random,"necklace,necklace,necklace,necklace","cushion,hammer,cabinet,turtle",random,65,6
"0,5,100,100","true,true,true,true","3501.6999999997206,3297.600000000093,2052.2000000001863,3459.0999999996275",50,"octopus,octopus,octopus,octopus",100,12,0,random,"desk,desk,desk,desk","clam,zebra,cushion,hammer",random,63,7
"85,87,50,50","true,true,true,true","4188.0999999996275,4805.9000000003725,3941.0999999996275,3481.5",50,"dress,dress,dress,dress",100,12,0,random,"bike,bike,bike,bike","toy,airplane,couch,elephant",random,20,8
"6,66,35,72","true,true,true,true","5066.200000000186,3894.6999999997206,3733.399999999907,2939.399999999907",50,"fork,fork,fork,fork",100,12,0,random,"doll,doll,doll,doll","scissors,dolphin,use,find",random,15,9
"50,50,48,100","true,true,true,true","3896.899999999907,2746.600000000093,5539.9000000003725,2695.7999999998137",50,"door,door,door,door",100,12,0,random,"work,work,work,work","make,alligator,airplane,gloves",random,46,10
"56,73,50,50","true,true,true,true","5029.100000000093,3516.2999999998137,3040.2000000001863,2148.6999999997206",50,"door,door,door,door",100,12,0,random,"dish,dish,dish,dish","brush,knife,fox,octopus",random,28,11
"100,55,66,0","true,true,true,true","3613.899999999907,3599.3000000002794,4133.399999999907,2976.2999999998137",50,"oven,oven,oven,oven",100,12,0,random,"coat,coat,coat,coat","shirt,make,ship,door",random,27,12
"100,74,50,57","true,true,true,true","2940.2999999998137,4741.700000000186,3194.6999999997206,2995.2000000001863",50,"doll,doll,doll,doll",100,12,0,random,"work,work,work,work","hammer,fork,couch,pot",random,47,13
"96,100,0,50","true,true,true,true","3027.3000000002794,2648.100000000093,3179.7999999998137,2206",50,"fox,fox,fox,fox",100,12,0,random,"work,work,work,work","find,airplane,elephant,dish",random,42,14
"80,50,100,16","true,true,true,true","3825.2000000001863,2530.2000000001863,2661.7999999998137,5089.5999999996275",50,"elephant,elephant,elephant,elephant",100,12,0,random,"pen,pen,pen,pen","door,oven,use,necklace",random,58,15
"15,15,5,50","true,true,true,true","5216.399999999441,3853.9000000003725,6204.700000000186,4712.799999999814",50,"toy,toy,toy,toy",100,12,0,random,"find,find,find,find","lion,couch,exist,belt",random,60,16
"50,50,22,74","true,true,true,true","2875.9000000003725,2745.899999999441,3844.100000000559,3129.2999999998137",50,"wagon,wagon,wagon,wagon",100,12,0,random,"submarine,submarine,submarine,submarine","belt,use,bike,protect",random,51,17
"50,50,74,50","true,true,true,true","4127.4000000003725,3074.2999999998137,3844.7000000001863,1832.5",50,"couch,couch,couch,couch",100,12,0,random,"dress,dress,dress,dress","squirrel,bike,scissors,lion",random,24,18
"5,8,10,9","true,true,true,true","4998.300000000745,5293.5,3390.5999999996275,3064.9000000003725",50,"protect,protect,protect,protect",100,12,0,random,"scissors,scissors,scissors,scissors","alligator,door,submarine,wagon",random,25,19
"18,50,94,100","true,true,true,true","4566,3671.600000000559,3752.2999999998137,3970",50,"turtle,turtle,turtle,turtle",100,12,0,random,"cushion,cushion,cushion,cushion","brush,oven,desk,couch",random,62,20
"17,16,50,50","true,true,true,true","3455.100000000559,6583.700000000186,3649.899999999441,3864.2000000001863",50,"exist,exist,exist,exist",100,12,0,random,"protect,protect,protect,protect","snail,buffalo,pot,doll",random,17,21
"82,87,83,50","true,true,true,true","4243,2577.5,2234.5999999996275,2743.4000000003725",50,"protect,protect,protect,protect",100,12,0,random,"octopus,octopus,octopus,octopus","alligator,turtle,fox,pen",random,35,22
"14,25,50,50","true,true,true,true","3491.600000000559,5238.199999999255,2008.2000000001863,1659.7999999998137",50,"cabinet,cabinet,cabinet,cabinet",100,12,0,random,"desk,desk,desk,desk","find,door,protect,dolphin",random,40,23
"22,17,42,50","true,true,true,true","4978.5,4771.5999999996275,2928.9000000003725,1838.5999999996275",50,"work,work,work,work",100,12,0,random,"chair,chair,chair,chair","pot,submarine,dish,snail",random,36,24
"50,50,50,0","true,true,true,true","3319.5,1878.1000000005588,1724.3999999994412,5637.300000000745",50,"couch,couch,couch,couch",100,12,0,random,"door,door,door,door","clam,zebra,mouse,chair",random,59,25
"50,93,1,50","true,true,true,true","4123,3049.199999999255,4718.200000000186,2144.7999999998137",50,"octopus,octopus,octopus,octopus",100,12,0,random,"protect,protect,protect,protect","dish,belt,lion,radio",random,16,26
100,true,4268.5999999996275,50,left,100,12,0,catch,right,move this slider to the right,random,4,27
"73,0,50,0","true,true,true,true","3247.5,3537.5,2513.5999999996275,2982.9000000003725",50,"fox,fox,fox,fox",100,12,0,random,"protect,protect,protect,protect","exist,zebra,bike,buffalo",random,11,28
"0,100,0,52","true,true,true,true","3248.5999999996275,3509.5,3005.9000000003725,5010.299999999814",50,"use,use,use,use",100,12,0,random,"turtle,turtle,turtle,turtle","train,fox,shirt,brush",random,12,29
