sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"0,0,0,0","true,true,true,true","3970.10000000149,4428.79999999702,3328,3121.39999999851",50,"belt,belt,belt,belt",100,12,0,type3,"clam,clam,clam,clam","gloves,shirt,coat,necklace",50% type 1/50% type 3,51,3
"0,2,50,0","true,true,true,true","4020.89999999851,3243.7999999970198,3643.7000000029802,4191.69999999553",50,"lion,lion,lion,lion",100,12,0,type1,"alligator,alligator,alligator,alligator","elephant,fox,clam,zebra",50% type 1/50% type 3,13,4
"0,0,0,0","true,true,true,true","3687.10000000149,2890.10000000149,3241,3336.89999999851",50,"belt,belt,belt,belt",100,12,0,type3,"bike,bike,bike,bike","gloves,coat,dress,necklace",50% type 1/50% type 3,65,5
"50,50,65,85","true,true,true,true","3867.1999999955297,5197.20000000298,3357.5,3612.60000000149",50,"wagon,wagon,wagon,wagon",100,12,0,type3,"protect,protect,protect,protect","exist,use,work,find",50% type 1/50% type 3,47,6
"0,76,100,12","true,true,true,true","3854.2999999970198,4140.80000000447,3008.7999999970198,4112.5",50,"wagon,wagon,wagon,wagon",100,12,0,type1,"submarine,submarine,submarine,submarine","bike,airplane,ship,train",50% type 1/50% type 3,7,7
"43,50,8,100","true,true,true,true","7025,3094.39999999851,4399,2904.4000000059605",50,"fork,fork,fork,fork",100,12,0,type1,"knife,knife,knife,knife","pot,oven,dish,scissors",50% type 1/50% type 3,17,8
0,true,3728.6999999955297,50,left,100,12,0,catch,right,move this slider to the left,50% type 1/50% type 3,3,9
"3,50,100,50","true,true,true,true","3484.4000000059605,2580.6999999955297,2640.10000000149,2798.2999999970198",50,"chair,chair,chair,chair",100,12,0,type1,"couch,couch,couch,couch","desk,door,cushion,cabinet",50% type 1/50% type 3,15,10
"50,50,100,7","true,true,true,true","2099.39999999851,1724.1000000014901,3315.10000000149,3121.39999999851",50,"fork,fork,fork,fork",100,12,0,type1,"knife,knife,knife,knife","pot,oven,scissors,dish",50% type 1/50% type 3,24,11
"74,73,81,74","true,true,true,true","3067.6999999955297,2723.4000000059605,2560,2345.7999999970198",50,"oven,oven,oven,oven",100,12,0,type3,"exist,exist,exist,exist","protect,work,make,find",50% type 1/50% type 3,61,12
"50,50,50,8","true,true,true,true","3918.10000000149,2816.2999999970198,2007.7000000029802,3729.39999999851",50,"wagon,wagon,wagon,wagon",100,12,0,type1,"bike,bike,bike,bike","airplane,ship,submarine,train",50% type 1/50% type 3,35,13
"22,0,89,88","true,true,true,true","5295.9000000059605,4406.39999999851,3529.2999999970198,2964.8000000044703",50,"alligator,alligator,alligator,alligator",100,12,0,type1,"zebra,zebra,zebra,zebra","buffalo,dolphin,clam,elephant",50% type 1/50% type 3,20,14
"75,73,100,93","true,true,true,true","5103.79999999702,3211.5,2937.7000000029802,3085.39999999851",50,"train,train,train,train",100,12,0,type3,"toy,toy,toy,toy","brush,pen,doll,radio",50% type 1/50% type 3,49,15
"100,100,100,100","true,true,true,true","3161.89999999851,2515.89999999851,2332.10000000149,2708.2000000029802",50,"belt,belt,belt,belt",100,12,0,type3,"train,train,train,train","airplane,submarine,ship,bike",50% type 1/50% type 3,45,16
"0,0,0,0","true,true,true,true","3323.5,2895.10000000149,2882.39999999851,3275.39999999851",50,"dress,dress,dress,dress",100,12,0,type3,"dish,dish,dish,dish","gloves,coat,necklace,shirt",50% type 1/50% type 3,44,17
"50,77,74,77","true,true,true,true","3218.2999999970198,3015.0999999940395,3592.7999999970198,2544.5",50,"airplane,airplane,airplane,airplane",100,12,0,type3,"oven,oven,oven,oven","scissors,fork,pot,dish",50% type 1/50% type 3,48,18
"15,11,5,4","true,true,true,true","3235,2624.2000000029802,2812.2000000029802,2411.3999999910593",50,"fox,fox,fox,fox",100,12,0,type3,"pen,pen,pen,pen","buffalo,turtle,dolphin,lion",50% type 1/50% type 3,60,19
"84,84,82,84","true,true,true,true","2617.9000000059605,2395.5999999940395,2231.5,2386.5999999940395",50,"door,door,door,door",100,12,0,type1,"cabinet,cabinet,cabinet,cabinet","couch,chair,cushion,desk",50% type 1/50% type 3,8,20
"100,3,0,100","true,true,true,true","3723.1000000089407,3564.3999999910593,3296.300000011921,3269.5",50,"cabinet,cabinet,cabinet,cabinet",100,12,0,type1,"couch,couch,couch,couch","cushion,door,desk,chair",50% type 1/50% type 3,22,21
"100,100,100,100","true,true,true,true","3155.5999999940395,2480.6000000089407,2058.7999999970198,2082.2000000029802",50,"clam,clam,clam,clam",100,12,0,type3,"submarine,submarine,submarine,submarine","train,wagon,bike,airplane",50% type 1/50% type 3,52,22
"27,24,0,24","true,true,true,true","4276.0999999940395,2642.1000000089407,4719.399999991059,4112.70000000298",50,"submarine,submarine,submarine,submarine",100,12,0,type3,"use,use,use,use","wagon,bike,ship,train",50% type 1/50% type 3,66,23
"5,3,0,0","true,true,true,true","2876.5,2566.2999999970198,2552.4000000059605,2957.0999999940395",50,"ship,ship,ship,ship",100,12,0,type3,"fork,fork,fork,fork","bike,wagon,submarine,train",50% type 1/50% type 3,59,24
"31,9,5,100","true,true,true,true","3945.2000000029802,3009,2861.2000000029802,2590.7999999970198",50,"chair,chair,chair,chair",100,12,0,type1,"cushion,cushion,cushion,cushion","cabinet,door,desk,couch",50% type 1/50% type 3,36,25
"93,100,100,100","true,true,true,true","3230.0999999940395,3265.4000000059605,2139,2086.7000000029802",50,"make,make,make,make",100,12,0,type3,"dish,dish,dish,dish","scissors,pot,knife,fork",50% type 1/50% type 3,41,26
"100,68,5,50","true,true,true,true","2996,4834.0999999940395,3651.5,2357.6000000089407",50,"knife,knife,knife,knife",100,12,0,type1,"fork,fork,fork,fork","dish,oven,scissors,pot",50% type 1/50% type 3,10,27
"50,50,50,0","true,true,true,true","3033,1978.0999999940395,2313,3012.5",50,"doll,doll,doll,doll",100,12,0,type1,"brush,brush,brush,brush","hammer,radio,pen,toy",50% type 1/50% type 3,23,28
"89,5,5,0","true,true,true,true","3076.6000000089407,2797.2000000029802,2657.5,3256",50,"submarine,submarine,submarine,submarine",100,12,0,type1,"bike,bike,bike,bike","wagon,airplane,train,ship",50% type 1/50% type 3,21,29
"100,99,100,100","true,true,true,true","2941.9000000059605,1771.5,2103.8999999910593,2728.9000000059605",50,"alligator,alligator,alligator,alligator",100,12,0,type3,"cabinet,cabinet,cabinet,cabinet","cushion,desk,chair,couch",50% type 1/50% type 3,43,30
"50,76,78,49","true,true,true,true","3215.7999999970198,3429.6000000089407,2501.5999999940395,3713",50,"brush,brush,brush,brush",100,12,0,type1,"pen,pen,pen,pen","doll,radio,hammer,toy",50% type 1/50% type 3,16,31
"0,0,26,17","true,true,true,true","3974.1000000089407,3706.0999999940395,2663.4000000059605,2632.0999999940395",50,"fork,fork,fork,fork",100,12,0,type3,"belt,belt,belt,belt","knife,dish,oven,pot",50% type 1/50% type 3,62,32
"7,0,3,100","true,true,true,true","5040.79999999702,2540.9000000059605,2780.5,2750.0999999940395",50,"work,work,work,work",100,12,0,type1,"exist,exist,exist,exist","use,make,find,allow",50% type 1/50% type 3,33,33
"100,4,100,0","true,true,true,true","4721.70000000298,3158.2999999970198,2687.2000000029802,3263.6000000089407",50,"dress,dress,dress,dress",100,12,0,type1,"belt,belt,belt,belt","necklace,shirt,gloves,coat",50% type 1/50% type 3,11,34
"0,50,100,13","true,true,true,true","4093.7999999970198,4488.4000000059605,6444.4000000059605,3127.7999999970198",50,"gloves,gloves,gloves,gloves",100,12,0,type1,"belt,belt,belt,belt","coat,dress,necklace,shirt",50% type 1/50% type 3,32,35
"4,0,100,0","true,true,true,true","5163.79999999702,2980.300000011921,2718.5,2978",50,"work,work,work,work",100,12,0,type1,"allow,allow,allow,allow","use,make,exist,protect",50% type 1/50% type 3,19,36
"4,1,0,0","true,true,true,true","3794.9000000059605,2758.3999999910593,2424.4000000059605,2709.0999999940395",50,"door,door,door,door",100,12,0,type3,"lion,lion,lion,lion","couch,cabinet,desk,cushion",50% type 1/50% type 3,64,37
"100,100,100,15","true,true,true,true","2732.2000000029802,2424.6000000089407,2351.699999988079,2836.5",50,"bike,bike,bike,bike",100,12,0,type1,"ship,ship,ship,ship","submarine,airplane,train,wagon",50% type 1/50% type 3,28,38
"0,20,0,17","true,true,true,true","4260.100000008941,4469.5999999940395,3300.7999999970198,2244.1000000089407",50,"fork,fork,fork,fork",100,12,0,type3,"turtle,turtle,turtle,turtle","dish,oven,knife,pot",50% type 1/50% type 3,55,39
100,true,3540.9000000059605,50,left,100,12,0,catch,right,move this slider to the right,50% type 1/50% type 3,4,40
"0,0,100,0","true,true,true,true","3787.7999999970198,2746.9000000059605,2571.7999999970198,2243.5",50,"work,work,work,work",100,12,0,type1,"allow,allow,allow,allow","make,use,exist,protect",50% type 1/50% type 3,12,41
"100,100,100,100","true,true,true,true","2738.7999999970198,1837.6000000089407,1882.3999999910593,2557",50,"zebra,zebra,zebra,zebra",100,12,0,type3,"couch,couch,couch,couch","chair,cabinet,door,cushion",50% type 1/50% type 3,57,42
"14,11,13,0","true,true,true,true","4214.70000000298,2453,3007.6000000089407,2809.2999999970198",50,"octopus,octopus,octopus,octopus",100,12,0,type3,"cabinet,cabinet,cabinet,cabinet","squirrel,lion,fox,alligator",50% type 1/50% type 3,53,43
"100,0,100,100","true,true,true,true","3800,2874.7000000029802,1824.4000000059605,2372.8999999910593",50,"exist,exist,exist,exist",100,12,0,type1,"use,use,use,use","work,allow,protect,find",50% type 1/50% type 3,26,44
"87,88,92,92","true,true,true,true","3092,2955.5,2713,2464.800000011921",50,"find,find,find,find",100,12,0,type3,"bike,bike,bike,bike","train,wagon,ship,submarine",50% type 1/50% type 3,38,45
"100,100,100,100","true,true,true,true","2928.7999999970198,1896.7000000029802,1839.2999999970198,1609.7999999970198",50,"exist,exist,exist,exist",100,12,0,type3,"belt,belt,belt,belt","dress,coat,necklace,shirt",50% type 1/50% type 3,58,46
"100,0,3,100","true,true,true,true","4676.5999999940395,2589.300000011921,2431.3999999910593,2051.5",50,"dress,dress,dress,dress",100,12,0,type1,"necklace,necklace,necklace,necklace","gloves,shirt,coat,belt",50% type 1/50% type 3,18,47
"0,50,19,65","true,true,true,true","3261.5,2737.0999999940395,3113,2781.4000000059605",50,"doll,doll,doll,doll",100,12,0,type3,"oven,oven,oven,oven","toy,hammer,brush,radio",50% type 1/50% type 3,42,48
100,true,2378.7999999970198,50,left,100,12,0,catch,right,move this slider to the right,50% type 1/50% type 3,6,49
"0,25,7,76","true,true,true,true","3758.7999999970198,4862.29999999702,3486.4000000059605,2587.2000000029802",50,"ship,ship,ship,ship",100,12,0,type1,"bike,bike,bike,bike","submarine,train,airplane,wagon",50% type 1/50% type 3,14,50
"100,100,100,100","true,true,true,true","2945.800000011921,2138.5999999940395,2309.7000000029802,2086.7000000029802",50,"shirt,shirt,shirt,shirt",100,12,0,type3,"protect,protect,protect,protect","make,exist,find,allow",50% type 1/50% type 3,40,51
"0,0,0,0","true,true,true,true","2709.7000000029802,2980.2000000029802,3008.7000000029802,2357.5",50,"cushion,cushion,cushion,cushion",100,12,0,type3,"doll,doll,doll,doll","chair,cabinet,desk,door",50% type 1/50% type 3,50,52
0,true,3355.6000000089407,50,left,100,12,0,catch,right,move this slider to the left,50% type 1/50% type 3,5,53
"100,100,100,100","true,true,true,true","2755,2723.1000000089407,1617.8999999910593,1587.9000000059605",50,"brush,brush,brush,brush",100,12,0,type3,"protect,protect,protect,protect","make,work,find,use",50% type 1/50% type 3,54,54
"10,4,0,0","false,true,true,true","2887,2608.4000000059605,2381.0999999940395,3819.5",50,"radio,radio,radio,radio",100,12,0,type3,"protect,protect,protect,protect","pen,brush,doll,hammer",50% type 1/50% type 3,56,55
"11,100,75,5","true,true,true,true","4335.199999988079,2894.2000000029802,2231,2700.6000000089407",50,"radio,radio,radio,radio",100,12,0,type1,"toy,toy,toy,toy","hammer,doll,brush,pen",50% type 1/50% type 3,9,56
"0,90,0,100","true,true,true,true","5356,4861.9000000059605,3471.2999999970198,3170.5",50,"fork,fork,fork,fork",100,12,0,type1,"pot,pot,pot,pot","scissors,dish,knife,oven",50% type 1/50% type 3,31,57
"0,0,0,0","true,true,true,true","2838.6000000089407,2445.3999999910593,2288.9000000059605,2643.5",50,"turtle,turtle,turtle,turtle",100,12,0,type3,"gloves,gloves,gloves,gloves","mouse,zebra,elephant,snail",50% type 1/50% type 3,46,58
