sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"39,33,40,72","true,true,true,true","3252,4072.0000000000146,4099.999999999985,3230",50,"pot,pot,pot,pot",100,12,0,random,"shirt,shirt,shirt,shirt","ship,train,bike,octopus",random,63,3
"60,23,16,83","true,true,true,true","3626,3226,3466,2880",50,"belt,belt,belt,belt",100,12,0,random,"dress,dress,dress,dress","toy,turtle,buffalo,cushion",random,57,4
"68,73,66,26","true,true,true,true","5649,3920,2383,4522",50,"turtle,turtle,turtle,turtle",100,12,0,random,"coat,coat,coat,coat","exist,fork,knife,clam",random,36,5
"25,70,21,19","true,true,true,true","3725.000000000029,4518,3098.999999999971,4434",50,"brush,brush,brush,brush",100,12,0,random,"octopus,octopus,octopus,octopus","wagon,find,oven,gloves",random,65,6
"76,84,5,21","true,true,true,true","4221,3410,4375,4800",50,"clam,clam,clam,clam",100,12,0,random,"mouse,mouse,mouse,mouse","find,use,lion,cabinet",random,11,7
"15,80,72,100","true,true,true,true","3662,3796,3452,4120",50,"protect,protect,protect,protect",100,12,0,random,"make,make,make,make","ship,octopus,fox,dress",random,25,8
"23,15,0,17","true,true,true,true","4460,4347.000000000029,3357.999999999971,2854",50,"couch,couch,couch,couch",100,12,0,random,"turtle,turtle,turtle,turtle","work,door,use,radio",random,60,9
"33,33,100,23","true,true,true,true","4945,5562.000000000029,3518.999999999971,2952",50,"wagon,wagon,wagon,wagon",100,12,0,random,"shirt,shirt,shirt,shirt","dolphin,squirrel,coat,snail",random,8,10
"100,100,0,100","true,true,true,true","3035,4789,3360,2455",50,"find,find,find,find",100,12,0,random,"use,use,use,use","dress,pen,brush,toy",random,33,11
"100,2,0,0","true,true,true,true","2874,7165,3077,2949",50,"turtle,turtle,turtle,turtle",100,12,0,random,"doll,doll,doll,doll","toy,submarine,zebra,octopus",random,41,12
0,true,3843,50,left,100,12,0,catch,right,move this slider to the left,random,5,13
"73,17,71,28","true,true,true,true","3070,5599,2890,3679",50,"submarine,submarine,submarine,submarine",100,12,0,random,"door,door,door,door","dish,radio,doll,brush",random,20,14
"77,1,85,85","true,true,true,true","3826,3277,2334,2299",50,"clam,clam,clam,clam",100,12,0,random,"shirt,shirt,shirt,shirt","chair,dolphin,train,desk",random,29,15
"72,5,66,100","true,true,true,true","4030,3058.000000000058,2736.999999999942,4713",50,"hammer,hammer,hammer,hammer",100,12,0,random,"train,train,train,train","clam,knife,snail,submarine",random,19,16
"12,0,33,39","true,true,true,true","4721,3434,2328,2846",50,"gloves,gloves,gloves,gloves",100,12,0,random,"zebra,zebra,zebra,zebra","oven,necklace,knife,pot",random,17,17
"100,0,87,100","true,true,true,true","2792,2472,2412,3822",50,"shirt,shirt,shirt,shirt",100,12,0,random,"submarine,submarine,submarine,submarine","airplane,gloves,radio,protect",random,7,18
"4,12,100,75","true,true,true,true","4205,4228,2729,3234",50,"work,work,work,work",100,12,0,random,"snail,snail,snail,snail","belt,make,fox,brush",random,9,19
"100,100,95,83","true,true,true,true","2626,2704,4884,2877",50,"work,work,work,work",100,12,0,random,"fox,fox,fox,fox","buffalo,alligator,clam,snail",random,52,20
"0,65,100,100","true,true,true,true","3519,2764.999999999942,3060,2367",50,"chair,chair,chair,chair",100,12,0,random,"work,work,work,work","find,elephant,hammer,oven",random,14,21
