sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"36,78,65,25","true,true,true,true","6070,2960,5866,3098",50,"gloves,gloves,gloves,gloves",100,12,0,type1,"dress,dress,dress,dress","necklace,shirt,coat,belt",50% type 1/50% type 3,33,3
"13,81,87,74","true,true,true,true","3976,4377,2740,3837",50,"clam,clam,clam,clam",100,12,0,type1,"fox,fox,fox,fox","octopus,zebra,elephant,mouse",50% type 1/50% type 3,24,4
"22,26,24,40","true,true,true,true","4827,3877,9972.00000000003,6518",50,"coat,coat,coat,coat",100,12,0,type3,"find,find,find,find","necklace,dress,shirt,gloves",50% type 1/50% type 3,44,5
"49,79,46,37","false,true,false,false","8757.99999999997,5010,9399,9448",50,"fork,fork,fork,fork",100,12,0,type1,"knife,knife,knife,knife","dish,scissors,oven,pot",50% type 1/50% type 3,18,6
"17,68,23,0","true,true,true,true","3856.000000000058,8933.999999999942,7743,2793",50,"ship,ship,ship,ship",100,12,0,type1,"bike,bike,bike,bike","train,wagon,airplane,submarine",50% type 1/50% type 3,30,7
"27,9,6,31","true,true,true,true","6072,4771,5496,5209",50,"pen,pen,pen,pen",100,12,0,type3,"knife,knife,knife,knife","radio,toy,brush,doll",50% type 1/50% type 3,43,8
"87,100,80,80","true,true,true,true","3625,2068,3300,5655",50,"hammer,hammer,hammer,hammer",100,12,0,type3,"ship,ship,ship,ship","airplane,submarine,train,wagon",50% type 1/50% type 3,61,9
"100,46,40,39","true,true,true,true","3316,6857,5378,3260",50,"airplane,airplane,airplane,airplane",100,12,0,type1,"submarine,submarine,submarine,submarine","ship,bike,wagon,train",50% type 1/50% type 3,16,10
"39,25,70,54","true,true,true,true","5972,2955,5658,4354",50,"brush,brush,brush,brush",100,12,0,type3,"cushion,cushion,cushion,cushion","hammer,pen,doll,toy",50% type 1/50% type 3,64,11
"0,66,38,0","true,true,true,true","4104,8155,5538,5729",50,"brush,brush,brush,brush",100,12,0,type3,"protect,protect,protect,protect","use,allow,work,make",50% type 1/50% type 3,63,12
"77,71,100,87","true,true,true,true","4113,2896,2135,2775",50,"desk,desk,desk,desk",100,12,0,type3,"snail,snail,snail,snail","elephant,dolphin,turtle,squirrel",50% type 1/50% type 3,53,13
"21,16,0,38","true,true,true,true","3897,3433.000000000058,2782.999999999942,3406",50,"scissors,scissors,scissors,scissors",100,12,0,type3,"lion,lion,lion,lion","dish,fork,knife,pot",50% type 1/50% type 3,66,14
"75,65,80,0","true,true,true,true","8919,3823,4314,3225.000000000058",50,"submarine,submarine,submarine,submarine",100,12,0,type1,"bike,bike,bike,bike","train,wagon,airplane,ship",50% type 1/50% type 3,9,15
"69,52,50,60","true,true,false,true","4935.999999999942,6280.999999999942,4632.000000000058,5208",50,"find,find,find,find",100,12,0,type1,"make,make,make,make","use,exist,allow,work",50% type 1/50% type 3,21,16
100,true,3999,50,left,100,12,0,catch,right,move this slider to the right,50% type 1/50% type 3,6,17
"34,5,25,100","true,true,true,true","5111,4525,3351,3875",50,"desk,desk,desk,desk",100,12,0,type1,"cabinet,cabinet,cabinet,cabinet","couch,chair,cushion,door",50% type 1/50% type 3,20,18
"6,70,18,37","true,true,true,true","7391,3452,3079,2955",50,"zebra,zebra,zebra,zebra",100,12,0,type3,"submarine,submarine,submarine,submarine","lion,dolphin,buffalo,squirrel",50% type 1/50% type 3,39,19
"15,22,18,13","true,true,true,true","4509,2951.0000000001164,3008.9999999998836,2772",50,"coat,coat,coat,coat",100,12,0,type3,"ship,ship,ship,ship","belt,gloves,necklace,dress",50% type 1/50% type 3,37,20
"91,66,38,34","true,true,true,true","9096,4396,4562,3841",50,"pot,pot,pot,pot",100,12,0,type3,"allow,allow,allow,allow","protect,exist,find,make",50% type 1/50% type 3,56,21
"62,65,68,65","true,true,true,true","4678,3701,3073,3220.0000000001164",50,"radio,radio,radio,radio",100,12,0,type3,"dish,dish,dish,dish","doll,pen,hammer,toy",50% type 1/50% type 3,50,22
"12,35,34,34","true,true,true,true","7108,7046,3128,2615",50,"door,door,door,door",100,12,0,type3,"ship,ship,ship,ship","cabinet,couch,desk,chair",50% type 1/50% type 3,62,23
"64,92,78,66","true,true,true,true","4088,2538,4501,2874",50,"radio,radio,radio,radio",100,12,0,type1,"pen,pen,pen,pen","hammer,brush,toy,doll",50% type 1/50% type 3,8,24
"20,70,71,69","true,true,true,true","9371,3753,2785,3485",50,"hammer,hammer,hammer,hammer",100,12,0,type1,"brush,brush,brush,brush","radio,toy,pen,doll",50% type 1/50% type 3,36,25
"15,31,40,36","true,true,true,true","3726,5035.999999999884,4499,2441.0000000001164",50,"knife,knife,knife,knife",100,12,0,type3,"cushion,cushion,cushion,cushion","scissors,fork,oven,dish",50% type 1/50% type 3,59,26
0,true,2528,50,left,100,12,0,catch,right,move this slider to the left,50% type 1/50% type 3,3,27
"0,41,38,43","true,true,true,true","2224,3045,2403,3380",50,"ship,ship,ship,ship",100,12,0,type3,"scissors,scissors,scissors,scissors","submarine,train,airplane,wagon",50% type 1/50% type 3,40,28
"0,34,38,39","true,true,true,true","4999.000000000116,4236.999999999884,4838,4355",50,"desk,desk,desk,desk",100,12,0,type3,"lion,lion,lion,lion","chair,cabinet,couch,cushion",50% type 1/50% type 3,48,29
"82,0,73,84","true,true,true,true","3170.0000000001164,4371.999999999884,3642,6388",50,"couch,couch,couch,couch",100,12,0,type1,"desk,desk,desk,desk","door,cushion,chair,cabinet",50% type 1/50% type 3,27,30
"7,33,71,71","true,true,true,true","5547.000000000116,2877.9999999998836,4432,2462",50,"dress,dress,dress,dress",100,12,0,type1,"gloves,gloves,gloves,gloves","coat,shirt,necklace,belt",50% type 1/50% type 3,19,31
"85,30,63,84","true,true,false,true","3797,3710,4017,2799",50,"dish,dish,dish,dish",100,12,0,type1,"fork,fork,fork,fork","knife,pot,oven,scissors",50% type 1/50% type 3,32,32
"58,89,85,77","true,false,true,true","4335,4117,5564.000000000116,4191.999999999884",50,"find,find,find,find",100,12,0,type1,"exist,exist,exist,exist","protect,allow,use,make",50% type 1/50% type 3,28,33
"25,35,26,100","true,true,true,true","5208.999999999884,3266,4373,1812",50,"chair,chair,chair,chair",100,12,0,type1,"couch,couch,couch,couch","cabinet,door,desk,cushion",50% type 1/50% type 3,13,34
"33,34,30,40","true,true,true,true","3819,5836,4041.0000000001164,5045.999999999884",50,"desk,desk,desk,desk",100,12,0,type3,"exist,exist,exist,exist","couch,cabinet,door,cushion",50% type 1/50% type 3,55,35
"35,62,62,69","true,false,true,true","5710,6241,8330,3576",50,"pen,pen,pen,pen",100,12,0,type1,"brush,brush,brush,brush","hammer,radio,doll,toy",50% type 1/50% type 3,29,36
"76,74,75,81","true,true,true,true","2634,5261,2523,4022.0000000001164",50,"couch,couch,couch,couch",100,12,0,type3,"belt,belt,belt,belt","shirt,coat,gloves,dress",50% type 1/50% type 3,58,37
"78,81,36,17","true,true,true,true","4543,1790,2361,2562",50,"dress,dress,dress,dress",100,12,0,type1,"belt,belt,belt,belt","necklace,gloves,shirt,coat",50% type 1/50% type 3,26,38
"28,24,92,21","true,true,true,true","5294,4198,2642.0000000001164,2351",50,"dish,dish,dish,dish",100,12,0,type1,"pot,pot,pot,pot","scissors,knife,oven,fork",50% type 1/50% type 3,25,39
"19,100,17,35","true,true,true,true","3829,3044.0000000001164,2064.9999999998836,8909",50,"allow,allow,allow,allow",100,12,0,type1,"work,work,work,work","protect,use,make,exist",50% type 1/50% type 3,35,40
"26,60,67,64","true,true,true,true","3411,5037,4290,4092",50,"hammer,hammer,hammer,hammer",100,12,0,type3,"dress,dress,dress,dress","pen,toy,doll,brush",50% type 1/50% type 3,57,41
"72,0,70,81","true,true,true,true","3801,3349,2577,2556",50,"cushion,cushion,cushion,cushion",100,12,0,type1,"chair,chair,chair,chair","door,couch,desk,cabinet",50% type 1/50% type 3,34,42
"22,29,86,18","true,true,true,true","2748,6197.000000000233,3366,2575.999999999767",50,"hammer,hammer,hammer,hammer",100,12,0,type3,"oven,oven,oven,oven","dish,scissors,pot,knife",50% type 1/50% type 3,38,43
"74,64,71,74","true,true,true,true","2402,3044.000000000233,2013.9999999997672,2555",50,"pen,pen,pen,pen",100,12,0,type3,"airplane,airplane,airplane,airplane","train,ship,bike,wagon",50% type 1/50% type 3,47,44
"73,34,24,36","true,true,true,true","3022,4446,3343,4216",50,"dress,dress,dress,dress",100,12,0,type3,"airplane,airplane,airplane,airplane","belt,coat,necklace,shirt",50% type 1/50% type 3,65,45
"80,74,66,80","true,true,true,true","3199,4365,2299,2310",50,"desk,desk,desk,desk",100,12,0,type3,"pot,pot,pot,pot","oven,dish,fork,knife",50% type 1/50% type 3,45,46
"72,73,76,87","true,true,true,true","2166.999999999767,2270,2284,2128",50,"couch,couch,couch,couch",100,12,0,type3,"knife,knife,knife,knife","dish,fork,pot,scissors",50% type 1/50% type 3,52,47
"71,25,76,79","true,true,true,true","3372,2172,4963,1898",50,"pot,pot,pot,pot",100,12,0,type1,"dish,dish,dish,dish","fork,oven,scissors,knife",50% type 1/50% type 3,11,48
"62,64,62,63","true,true,true,true","3251,2577,4356,3064",50,"submarine,submarine,submarine,submarine",100,12,0,type1,"ship,ship,ship,ship","bike,train,wagon,airplane",50% type 1/50% type 3,23,49
100,true,2439,50,left,100,12,0,catch,right,move this slider to the right,50% type 1/50% type 3,4,50
"9,13,52,81","true,true,true,true","3886,2043,4261,3005",50,"elephant,elephant,elephant,elephant",100,12,0,type1,"turtle,turtle,turtle,turtle","alligator,lion,squirrel,dolphin",50% type 1/50% type 3,10,51
"60,61,71,69","true,true,true,true","3646,2177,2260,1982",50,"make,make,make,make",100,12,0,type3,"lion,lion,lion,lion","snail,fox,elephant,clam",50% type 1/50% type 3,60,52
"27,35,32,32","true,true,true,true","2809,1933,1922,2234",50,"squirrel,squirrel,squirrel,squirrel",100,12,0,type3,"fork,fork,fork,fork","clam,elephant,octopus,snail",50% type 1/50% type 3,46,53
"35,61,36,79","true,true,true,true","2688,1851,4026,2568",50,"octopus,octopus,octopus,octopus",100,12,0,type1,"lion,lion,lion,lion","clam,fox,snail,zebra",50% type 1/50% type 3,31,54
"0,81,72,76","true,true,true,true","4631,2454,2537,3630",50,"toy,toy,toy,toy",100,12,0,type1,"pen,pen,pen,pen","doll,brush,hammer,radio",50% type 1/50% type 3,15,55
"84,13,43,7","true,true,true,true","3261,4317,3878.000000000233,3138.999999999767",50,"cabinet,cabinet,cabinet,cabinet",100,12,0,type3,"doll,doll,doll,doll","cushion,chair,couch,door",50% type 1/50% type 3,41,56
"73,24,68,78","true,true,true,true","3153,3102,2437,2236",50,"lion,lion,lion,lion",100,12,0,type1,"octopus,octopus,octopus,octopus","clam,elephant,snail,dolphin",50% type 1/50% type 3,17,57
"100,46,39,29","true,true,true,true","4833,4005,5344,6213",50,"make,make,make,make",100,12,0,type3,"belt,belt,belt,belt","use,work,find,protect",50% type 1/50% type 3,49,58
0,true,2267.999999999767,50,left,100,12,0,catch,right,move this slider to the left,50% type 1/50% type 3,5,59
"98,76,80,84","true,true,true,true","3215,10503.000000000233,3075.999999999767,2905.000000000233",50,"bike,bike,bike,bike",100,12,0,type3,"shirt,shirt,shirt,shirt","coat,necklace,gloves,belt",50% type 1/50% type 3,51,60
"35,69,22,68","true,true,true,true","7545,3787.000000000233,2471,4232.999999999767",50,"find,find,find,find",100,12,0,type1,"allow,allow,allow,allow","work,protect,exist,make",50% type 1/50% type 3,14,61
"78,24,32,87","true,true,true,true","2319,3039,2991,4264",50,"brush,brush,brush,brush",100,12,0,type1,"pen,pen,pen,pen","radio,doll,toy,hammer",50% type 1/50% type 3,22,62
"80,37,64,65","true,true,true,true","2719,3747,2551,2839",50,"exist,exist,exist,exist",100,12,0,type1,"make,make,make,make","use,allow,work,find",50% type 1/50% type 3,7,63
"67,64,36,63","true,true,true,true","2923,2152,2856,3191",50,"gloves,gloves,gloves,gloves",100,12,0,type3,"allow,allow,allow,allow","protect,exist,make,find",50% type 1/50% type 3,42,64
"26,69,21,27","true,true,true,true","2432,3012,2358.000000000233,2177.999999999767",50,"belt,belt,belt,belt",100,12,0,type1,"necklace,necklace,necklace,necklace","coat,dress,shirt,gloves",50% type 1/50% type 3,12,65
"24,30,40,33","true,true,true,true","2916,2672,2599.000000000233,2730.999999999767",50,"bike,bike,bike,bike",100,12,0,type3,"belt,belt,belt,belt","train,ship,airplane,submarine",50% type 1/50% type 3,54,66
