sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"72,15,0,100","true,true,true,true","3206.2999999523163,5591.200000047684,7202,2730",50,"use,use,use,use",100,12,0,type3,"toy,toy,toy,toy","radio,pen,hammer,doll",50% type 1/50% type 3,42,32
"9,89,13,3","true,true,true,true","5942.300000071526,5715.199999928474,4693.300000071526,3115.7999999523163",50,"chair,chair,chair,chair",100,12,0,type1,"cushion,cushion,cushion,cushion","desk,couch,door,cabinet",50% type 1/50% type 3,18,33
"12,100,6,100","true,true,true,true","4058.5999999046326,3489.2000000476837,3718,2162.7000000476837",50,"pot,pot,pot,pot",100,12,0,type1,"fork,fork,fork,fork","oven,knife,dish,scissors",50% type 1/50% type 3,15,34
"100,100,100,100","true,true,true,true","3058.0999999046326,2101.3000000715256,2210.5,2506.399999976158",50,"radio,radio,radio,radio",100,12,0,type3,"knife,knife,knife,knife","fork,oven,pot,scissors",50% type 1/50% type 3,52,35
"34,57,39,0","true,true,true,true","4805.100000023842,4754.700000047684,4574.100000023842,2915.2999999523163",50,"zebra,zebra,zebra,zebra",100,12,0,type1,"buffalo,buffalo,buffalo,buffalo","clam,octopus,snail,lion",50% type 1/50% type 3,26,36
"25,89,96,100","true,true,true,true","2908.3000000715256,3817.5999999046326,2487.4000000953674,2742.3000000715256",50,"radio,radio,radio,radio",100,12,0,type3,"dish,dish,dish,dish","scissors,pot,oven,fork",50% type 1/50% type 3,66,37
"17,100,100,51","true,true,true,false","4049.2999999523163,3154.399999976158,4139.100000023842,3931.600000023842",50,"pen,pen,pen,pen",100,12,0,type1,"doll,doll,doll,doll","hammer,toy,brush,radio",50% type 1/50% type 3,21,38
"0,91,0,0","true,true,true,true","3605.5999999046326,4653.700000047684,2757.5,2221.899999976158",50,"ship,ship,ship,ship",100,12,0,type1,"wagon,wagon,wagon,wagon","airplane,bike,train,submarine",50% type 1/50% type 3,23,39
"79,79,80,81","true,true,true,true","3256.600000023842,2676.2000000476837,2721.100000023842,2512",50,"squirrel,squirrel,squirrel,squirrel",100,12,0,type3,"allow,allow,allow,allow","exist,find,make,work",50% type 1/50% type 3,43,40
"0,0,0,0","true,true,true,true","3230.7000000476837,2159.5999999046326,2096.4000000953674,2215.5999999046326",50,"bike,bike,bike,bike",100,12,0,type3,"dish,dish,dish,dish","ship,wagon,airplane,train",50% type 1/50% type 3,46,41
"100,100,100,100","true,true,true,true","2461.2999999523163,1671,1812.4000000953674,2440.1999999284744",50,"train,train,train,train",100,12,0,type3,"shirt,shirt,shirt,shirt","belt,necklace,coat,dress",50% type 1/50% type 3,65,42
"79,51,81,64","true,true,true,true","4832.699999928474,4014.3000000715256,5026.899999976158,7809",50,"pot,pot,pot,pot",100,12,0,type1,"dish,dish,dish,dish","knife,oven,fork,scissors",50% type 1/50% type 3,36,43
"30,81,33,100","true,true,true,true","4949.600000023842,5088.099999904633,5478,10261.200000047684",50,"turtle,turtle,turtle,turtle",100,12,0,type3,"bike,bike,bike,bike","submarine,train,ship,wagon",50% type 1/50% type 3,53,44
"0,0,0,0","true,true,true,true","3569.7000000476837,2370.399999976158,2741.899999976158,2158.2000000476837",50,"alligator,alligator,alligator,alligator",100,12,0,type3,"cabinet,cabinet,cabinet,cabinet","lion,fox,mouse,zebra",50% type 1/50% type 3,40,45
