sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"91,3,50,50","true,true,true,true","2856.2999999523163,3093.7999999523163,3074.100000023842,2194.2000000476837",50,"lion,lion,lion,lion",100,12,0,type1,"mouse,mouse,mouse,mouse","elephant,snail,fox,buffalo",80% type 1/20% type 3,29,3
"92,81,94,96","true,true,true,true","3808,2995.600000023842,3101.5,6725.699999928474",50,"pot,pot,pot,pot",100,12,0,type1,"fork,fork,fork,fork","dish,oven,knife,scissors",80% type 1/20% type 3,30,4
"92,13,12,100","true,true,true,true","6802.299999952316,3908.3000000715256,4126.899999976158,2802",50,"oven,oven,oven,oven",100,12,0,type1,"scissors,scissors,scissors,scissors","fork,pot,dish,knife",80% type 1/20% type 3,37,5
"0,21,0,23","true,true,true,true","4001.5999999046326,3497.4000000953674,4152.199999928474,2694.399999976158",50,"shirt,shirt,shirt,shirt",100,12,0,type1,"belt,belt,belt,belt","coat,gloves,necklace,dress",80% type 1/20% type 3,31,6
"76,50,100,25","true,true,true,true","5638.899999976158,1708.6000000238419,5839.600000023842,3047.6999999284744",50,"oven,oven,oven,oven",100,12,0,type1,"pot,pot,pot,pot","knife,fork,dish,scissors",80% type 1/20% type 3,16,7
"82,80,18,92","true,true,true,true","5531.899999976158,3092.5,3732.600000023842,4051.899999976158",50,"belt,belt,belt,belt",100,12,0,type1,"coat,coat,coat,coat","dress,necklace,gloves,shirt",80% type 1/20% type 3,38,8
"100,98,18,94","true,true,true,true","3119.7000000476837,5219.599999904633,3174,3777.5",50,"belt,belt,belt,belt",100,12,0,type1,"necklace,necklace,necklace,necklace","dress,shirt,coat,gloves",80% type 1/20% type 3,52,9
"16,50,36,50","true,true,true,true","3041.5,1619.5,2899.899999976158,3366.100000023842",50,"necklace,necklace,necklace,necklace",100,12,0,type3,"dolphin,dolphin,dolphin,dolphin","shirt,belt,gloves,coat",80% type 1/20% type 3,66,10
"13,2,82,3","true,true,true,true","3194.7000000476837,2536.7999999523163,4328,2912.5",50,"turtle,turtle,turtle,turtle",100,12,0,type3,"pot,pot,pot,pot","zebra,dolphin,fox,buffalo",80% type 1/20% type 3,56,11
"95,0,89,19","true,true,true,true","7520.5,2366.6999999284744,2716.7000000476837,3771.100000023842",50,"door,door,door,door",100,12,0,type1,"cabinet,cabinet,cabinet,cabinet","chair,cushion,couch,desk",80% type 1/20% type 3,7,12
"30,50,50,50","true,true,true,true","3189.2999999523163,1797.8999999761581,961.5,1060.2000000476837",50,"submarine,submarine,submarine,submarine",100,12,0,type3,"necklace,necklace,necklace,necklace","wagon,ship,airplane,train",80% type 1/20% type 3,61,13
100,true,4199.5,50,left,100,12,0,catch,right,move this slider to the right,80% type 1/20% type 3,6,14
"5,100,16,100","true,true,true,true","5206.199999928474,2219.7000000476837,2670.399999976158,2289.5",50,"find,find,find,find",100,12,0,type1,"make,make,make,make","exist,allow,use,protect",80% type 1/20% type 3,46,15
0,true,3144.6999999284744,50,left,100,12,0,catch,right,move this slider to the left,80% type 1/20% type 3,3,16
"50,50,50,50","true,true,true,true","2216.0999999046326,1118,2331.600000023842,783.6000000238419",50,"dish,dish,dish,dish",100,12,0,type3,"work,work,work,work","use,allow,make,find",80% type 1/20% type 3,58,17
"13,50,0,9","true,true,true,true","2990.7999999523163,7386.600000023842,2752.3000000715256,3107.5",50,"alligator,alligator,alligator,alligator",100,12,0,type1,"lion,lion,lion,lion","zebra,fox,elephant,dolphin",80% type 1/20% type 3,43,18
"13,20,5,100","true,true,true,true","3142.600000023842,5298.399999976158,2906.7000000476837,4710",50,"coat,coat,coat,coat",100,12,0,type1,"gloves,gloves,gloves,gloves","necklace,belt,shirt,dress",80% type 1/20% type 3,10,19
"0,91,100,95","true,true,true,true","3147.5999999046326,2429.4000000953674,3067.5999999046326,4216.100000023842",50,"fox,fox,fox,fox",100,12,0,type1,"snail,snail,snail,snail","alligator,clam,turtle,octopus",80% type 1/20% type 3,22,20
"45,70,88,50","true,true,true,true","8517.899999976158,2526,3935.7999999523163,1307.1000000238419",50,"airplane,airplane,airplane,airplane",100,12,0,type1,"ship,ship,ship,ship","wagon,bike,submarine,train",80% type 1/20% type 3,20,21
"0,14,50,50","true,true,true,true","3105.2999999523163,4346.300000071526,1549.1000000238419,3888.899999976158",50,"pen,pen,pen,pen",100,12,0,type1,"radio,radio,radio,radio","toy,hammer,doll,brush",80% type 1/20% type 3,54,22
"10,99,95,0","true,true,true,true","3587.2999999523163,3102.2999999523163,2638.8000000715256,2386.600000023842",50,"knife,knife,knife,knife",100,12,0,type1,"dish,dish,dish,dish","scissors,pot,oven,fork",80% type 1/20% type 3,23,23
100,true,3712.8000000715256,50,left,100,12,0,catch,right,move this slider to the right,80% type 1/20% type 3,4,24
"50,50,50,50","true,true,true,true","2369.6999999284744,793.8000000715256,1005.3999999761581,913.1000000238419",50,"exist,exist,exist,exist",100,12,0,type1,"protect,protect,protect,protect","allow,work,find,make",80% type 1/20% type 3,39,25
"87,86,96,99","true,true,true,true","3214.100000023842,2331.399999976158,2875.100000023842,2217.2999999523163",50,"use,use,use,use",100,12,0,type1,"make,make,make,make","protect,find,work,allow",80% type 1/20% type 3,53,26
"100,100,50,50","true,true,true,true","2912.899999976158,2391.2000000476837,2613.2999999523163,1326.1000000238419",50,"doll,doll,doll,doll",100,12,0,type1,"radio,radio,radio,radio","hammer,brush,pen,toy",80% type 1/20% type 3,40,27
"50,50,50,50","true,true,true,true","11965.5,1417,1069.2999999523163,1136.8999999761581",50,"find,find,find,find",100,12,0,type1,"work,work,work,work","exist,protect,allow,make",80% type 1/20% type 3,11,28
"75,89,94,50","true,true,true,true","3346.3000000715256,3287.0999999046326,5405.900000095367,1109.6999999284744",50,"bike,bike,bike,bike",100,12,0,type1,"ship,ship,ship,ship","wagon,train,airplane,submarine",80% type 1/20% type 3,13,29
"97,6,100,0","true,true,true,true","3082.7000000476837,3455.5999999046326,3207.5,3720.600000023842",50,"door,door,door,door",100,12,0,type1,"cushion,cushion,cushion,cushion","chair,desk,couch,cabinet",80% type 1/20% type 3,49,30
"18,50,100,15","true,true,true,true","3532.3000000715256,2354,3668.0999999046326,7414.900000095367",50,"couch,couch,couch,couch",100,12,0,type1,"cushion,cushion,cushion,cushion","desk,cabinet,chair,door",80% type 1/20% type 3,28,31
"81,19,23,81","true,false,true,true","3992.600000023842,3540.5,5196.199999928474,2377.600000023842",50,"desk,desk,desk,desk",100,12,0,type3,"pen,pen,pen,pen","toy,hammer,brush,doll",80% type 1/20% type 3,55,32
"12,18,4,94","true,true,true,true","3451.5,2854.5,3245.7999999523163,3261.2999999523163",50,"couch,couch,couch,couch",100,12,0,type1,"cushion,cushion,cushion,cushion","desk,door,chair,cabinet",80% type 1/20% type 3,42,33
"83,13,83,0","true,true,true,true","3650.600000023842,5054.699999928474,2379.899999976158,2815.5",50,"make,make,make,make",100,12,0,type1,"find,find,find,find","protect,exist,use,work",80% type 1/20% type 3,18,34
"50,50,50,50","true,true,true,true","1960.1000000238419,1149.1000000238419,1181.2000000476837,1000.3999999761581",50,"coat,coat,coat,coat",100,12,0,type1,"belt,belt,belt,belt","gloves,necklace,shirt,dress",80% type 1/20% type 3,45,35
"59,94,25,86","true,true,true,true","3236.399999976158,4014,2309.100000023842,2865.2999999523163",50,"brush,brush,brush,brush",100,12,0,type1,"pen,pen,pen,pen","doll,radio,hammer,toy",80% type 1/20% type 3,33,36
"19,28,100,12","true,true,true,true","3521.9000000953674,2843.2999999523163,2301.100000023842,2926.1999999284744",50,"door,door,door,door",100,12,0,type3,"airplane,airplane,airplane,airplane","cushion,cabinet,couch,desk",80% type 1/20% type 3,64,37
"10,28,22,13","true,true,true,true","4107.700000047684,3157.7999999523163,2807.2000000476837,4297.799999952316",50,"elephant,elephant,elephant,elephant",100,12,0,type3,"couch,couch,couch,couch","zebra,alligator,octopus,fox",80% type 1/20% type 3,63,38
"100,88,50,100","true,true,true,true","3525.100000023842,3554.399999976158,1036,3107.2000000476837",50,"toy,toy,toy,toy",100,12,0,type1,"radio,radio,radio,radio","hammer,doll,pen,brush",80% type 1/20% type 3,19,39
"50,50,50,50",",,,",",12020.799999952316,12023.600000023842,12024.200000047684,12025.799999952316",50,"doll,doll,doll,doll",100,12,0,type1,"brush,brush,brush,brush","radio,pen,hammer,toy",80% type 1/20% type 3,12,40
"100,7,15,100","true,true,true,true","3132.5,2932,2112.2999999523163,1934.5",50,"scissors,scissors,scissors,scissors",100,12,0,type1,"dish,dish,dish,dish","pot,knife,fork,oven",80% type 1/20% type 3,9,41
"20,84,50,100","true,true,false,true","2644.5,5003.799999952316,2052.8000000715256,3734.899999976158",50,"pen,pen,pen,pen",100,12,0,type3,"oven,oven,oven,oven","pot,knife,scissors,dish",80% type 1/20% type 3,60,42
