sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"5,12,79,70","true,true,true,true","3367.2999999523163,3584.7000000476837,5347.5,3092",50,"ship,ship,ship,ship",100,12,0,type1,"train,train,train,train","submarine,airplane,bike,wagon",50% type 1/50% type 3,31,3
"80,79,90,72","true,true,true,true","5698.399999976158,3538.3000000715256,3654,3423.899999976158",50,"zebra,zebra,zebra,zebra",100,12,0,type3,"make,make,make,make","exist,use,allow,find",50% type 1/50% type 3,41,4
"86,83,69,84","true,true,true,true","3121,3950.2999999523163,5649.899999976158,3256.2999999523163",50,"allow,allow,allow,allow",100,12,0,type3,"cabinet,cabinet,cabinet,cabinet","desk,door,cushion,couch",50% type 1/50% type 3,45,5
"18,23,11,21","true,true,true,true","3502.100000023842,4647.600000023842,3228.2000000476837,3565.2999999523163",50,"airplane,airplane,airplane,airplane",100,12,0,type3,"shirt,shirt,shirt,shirt","ship,train,submarine,wagon",50% type 1/50% type 3,51,6
"19,43,65,64","true,true,true,true","4519.600000023842,4116.600000023842,2790.399999976158,3987.7000000476837",50,"gloves,gloves,gloves,gloves",100,12,0,type3,"radio,radio,radio,radio","brush,pen,toy,doll",50% type 1/50% type 3,60,7
"73,69,29,38","true,true,true,true","3048.8000000715256,2916.5,3163.0999999046326,3187",50,"zebra,zebra,zebra,zebra",100,12,0,type1,"clam,clam,clam,clam","turtle,alligator,lion,mouse",50% type 1/50% type 3,7,8
"65,67,30,65","true,true,true,true","4411.800000071526,2901.6999999284744,2828.3000000715256,3439.899999976158",50,"pen,pen,pen,pen",100,12,0,type3,"shirt,shirt,shirt,shirt","doll,radio,hammer,toy",50% type 1/50% type 3,53,9
"65,24,19,74","true,true,true,true","3669.2999999523163,4370,4229.399999976158,3764.7000000476837",50,"use,use,use,use",100,12,0,type3,"scissors,scissors,scissors,scissors","fork,oven,pot,dish",50% type 1/50% type 3,40,10
0,true,5059,50,left,100,12,0,catch,right,move this slider to the left,50% type 1/50% type 3,3,11
"29,30,24,15","true,true,true,true","4434.800000071526,2517.7999999523163,2480,2342.2000000476837",50,"belt,belt,belt,belt",100,12,0,type3,"work,work,work,work","shirt,gloves,coat,necklace",50% type 1/50% type 3,50,12
"24,70,97,73","true,true,true,true","4846.799999952316,3742.600000023842,5205.399999976158,4829",50,"door,door,door,door",100,12,0,type1,"chair,chair,chair,chair","cabinet,cushion,couch,desk",50% type 1/50% type 3,26,13
"30,27,26,29","true,true,true,true","3220.7999999523163,4537.799999952316,4115.600000023842,3861.5",50,"desk,desk,desk,desk",100,12,0,type1,"cushion,cushion,cushion,cushion","cabinet,couch,chair,door",50% type 1/50% type 3,33,14
"24,21,21,27","true,true,true,true","4533.100000023842,2828.600000023842,3720.399999976158,3741.2000000476837",50,"cushion,cushion,cushion,cushion",100,12,0,type3,"elephant,elephant,elephant,elephant","couch,desk,cabinet,door",50% type 1/50% type 3,59,15
"89,87,68,23","true,true,true,true","3071.7999999523163,3092.2000000476837,2813,2979.5",50,"protect,protect,protect,protect",100,12,0,type1,"use,use,use,use","find,exist,make,allow",50% type 1/50% type 3,18,16
"32,68,76,22","true,true,true,true","5328.399999976158,3449.399999976158,2921.100000023842,2384.2000000476837",50,"hammer,hammer,hammer,hammer",100,12,0,type1,"brush,brush,brush,brush","radio,toy,doll,pen",50% type 1/50% type 3,22,17
"24,28,80,80","true,true,true,true","2827.2000000476837,3377,4331.699999928474,2374.100000023842",50,"pot,pot,pot,pot",100,12,0,type1,"dish,dish,dish,dish","scissors,oven,fork,knife",50% type 1/50% type 3,20,18
"72,70,93,79","true,true,true,true","3384.5,3466.399999976158,3115.2000000476837,2198.600000023842",50,"snail,snail,snail,snail",100,12,0,type1,"elephant,elephant,elephant,elephant","squirrel,mouse,zebra,fox",50% type 1/50% type 3,35,19
"100,79,43,5","true,true,true,true","4385.399999976158,2612.7000000476837,5564,4123.299999952316",50,"pot,pot,pot,pot",100,12,0,type1,"fork,fork,fork,fork","knife,dish,scissors,oven",50% type 1/50% type 3,13,20
"17,39,24,56","true,true,true,true","3127,4019.600000023842,2924.899999976158,2739.600000023842",50,"turtle,turtle,turtle,turtle",100,12,0,type1,"snail,snail,snail,snail","elephant,fox,lion,mouse",50% type 1/50% type 3,28,21
"8,17,18,24","true,true,true,true","2868.899999976158,3323.7999999523163,2851.7000000476837,2325.100000023842",50,"train,train,train,train",100,12,0,type1,"bike,bike,bike,bike","airplane,wagon,submarine,ship",50% type 1/50% type 3,10,22
0,true,3627.600000023842,50,left,100,12,0,catch,right,move this slider to the left,50% type 1/50% type 3,5,23
