sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"0,90,96,50","true,true,true,false","3862.199999988079,4002.600000023842,4239.699999988079,2145.300000011921",50,"gloves,gloves,gloves,gloves",100,12,0,random,"work,work,work,work","dress,fork,desk,elephant",random,58,3
"50,85,0,100","true,true,true,true","4447.899999976158,9569,5313.699999988079,3695.900000035763",50,"elephant,elephant,elephant,elephant",100,12,0,random,"buffalo,buffalo,buffalo,buffalo","make,squirrel,exist,dish",random,33,4
"100,0,35,72","true,true,false,true","4790.300000011921,2194.699999988079,1877.699999988079,4217.199999988079",50,"couch,couch,couch,couch",100,12,0,random,"pen,pen,pen,pen","shirt,knife,chair,coat",random,8,5
"28,50,15,86","false,false,true,true","2169.699999988079,4175.899999976158,3303.300000011921,3045.300000011921",50,"airplane,airplane,airplane,airplane",100,12,0,random,"zebra,zebra,zebra,zebra","lion,chair,necklace,brush",random,26,6
"19,79,13,71","true,true,false,true","3396.800000011921,3380.300000011921,1872.699999988079,2007.5999999642372",50,"scissors,scissors,scissors,scissors",100,12,0,random,"hammer,hammer,hammer,hammer","brush,exist,submarine,pot",random,52,7
"100,0,50,50","true,false,false,false","3611.099999964237,3234.900000035763,3352.699999988079,2112.300000011921",50,"fox,fox,fox,fox",100,12,0,random,"turtle,turtle,turtle,turtle","dolphin,squirrel,gloves,cabinet",random,15,8
"100,0,0,50","true,true,true,false","3061.300000011921,2292,3670.800000011921,2309.599999964237",50,"knife,knife,knife,knife",100,12,0,random,"train,train,train,train","snail,find,pot,turtle",random,22,9
"100,0,100,0","true,true,false,true","1976.300000011921,1892.5,1423.800000011921,1711.3999999761581",50,"dish,dish,dish,dish",100,12,0,random,"coat,coat,coat,coat","mouse,exist,cushion,necklace",random,60,10
"77,21,85,85","true,true,false,false","1634.5,1822,2169,1946.7999999523163",50,"hammer,hammer,hammer,hammer",100,12,0,random,"cushion,cushion,cushion,cushion","bike,work,submarine,dolphin",random,59,11
"8,86,89,19","true,false,true,false","2272,1724.1000000238419,1893.800000011921,3364.5",50,"knife,knife,knife,knife",100,12,0,random,"scissors,scissors,scissors,scissors","necklace,work,lion,clam",random,11,12
"16,95,9,76","true,true,true,false","2212.900000035763,1816.0999999642372,1854.4000000357628,1815",50,"turtle,turtle,turtle,turtle",100,12,0,random,"zebra,zebra,zebra,zebra","doll,train,chair,fox",random,30,13
"100,100,0,100","true,true,true,true","2528,2530.699999988079,2505.100000023842,1951",50,"necklace,necklace,necklace,necklace",100,12,0,random,"exist,exist,exist,exist","zebra,fox,scissors,snail",random,66,14
"100,0,16,87","true,true,false,false","2739.199999988079,2056.899999976158,1781.4000000357628,1591.5",50,"airplane,airplane,airplane,airplane",100,12,0,random,"chair,chair,chair,chair","knife,gloves,turtle,allow",random,34,15
