sliders,choices,rt,default,left_words,max,max_duration,min,question_type,right_words,slider_words,triad_mix,trial,trial_num
"78,89,70,50","true,true,true,true","4415,3476.2000000476837,3143.5,3272.7999999523163",50,"use,use,use,use",100,12,0,type3,"cabinet,cabinet,cabinet,cabinet","couch,chair,desk,cushion",50% type 1/50% type 3,43,3
"21,7,23,4","true,true,true,true","2968.7000000476837,3623.100000023842,3536.5,4013.8000000715256",50,"make,make,make,make",100,12,0,type3,"mouse,mouse,mouse,mouse","exist,work,use,allow",50% type 1/50% type 3,60,4
"10,6,54,10","true,true,true,true","4139.200000047684,3387.1999999284744,3301.2000000476837,3101.5",50,"fork,fork,fork,fork",100,12,0,type1,"scissors,scissors,scissors,scissors","knife,dish,oven,pot",50% type 1/50% type 3,21,5
"21,87,15,22","true,true,true,true","3466.899999976158,2581.399999976158,2722.3000000715256,3070.899999976158",50,"use,use,use,use",100,12,0,type3,"shirt,shirt,shirt,shirt","work,protect,find,exist",50% type 1/50% type 3,46,6
"78,10,30,83","true,true,true,true","2957.5,2678.2999999523163,2743,2626.5",50,"brush,brush,brush,brush",100,12,0,type3,"wagon,wagon,wagon,wagon","submarine,airplane,ship,train",50% type 1/50% type 3,44,7
"87,18,13,9","true,true,true,true","4333.399999976158,2768.8000000715256,2295.2000000476837,3904.600000023842",50,"knife,knife,knife,knife",100,12,0,type1,"oven,oven,oven,oven","pot,dish,fork,scissors",50% type 1/50% type 3,28,8
"6,20,32,51","true,true,true,true","2829,3108.7999999523163,2990.9000000953674,3328.6999999284744",50,"dolphin,dolphin,dolphin,dolphin",100,12,0,type3,"radio,radio,radio,radio","turtle,snail,lion,clam",50% type 1/50% type 3,61,9
"92,72,86,76","true,true,true,true","4320.700000047684,2852.5,3098.899999976158,3604.1999999284744",50,"fork,fork,fork,fork",100,12,0,type3,"make,make,make,make","allow,work,find,use",50% type 1/50% type 3,53,10
"2,50,9,83","true,true,true,true","3109,3430.7000000476837,2724.5,5597.100000023842",50,"cushion,cushion,cushion,cushion",100,12,0,type1,"cabinet,cabinet,cabinet,cabinet","couch,door,chair,desk",50% type 1/50% type 3,11,11
"89,68,40,92","true,true,true,true","2933,3044.899999976158,3847.2999999523163,3427.899999976158",50,"gloves,gloves,gloves,gloves",100,12,0,type3,"airplane,airplane,airplane,airplane","ship,bike,wagon,train",50% type 1/50% type 3,37,12
"44,7,75,50","true,true,true,true","6708.899999976158,4233.200000047684,3660.7999999523163,3135.8000000715256",50,"mouse,mouse,mouse,mouse",100,12,0,type1,"squirrel,squirrel,squirrel,squirrel","octopus,buffalo,clam,alligator",50% type 1/50% type 3,36,13
"0,0,0,16","true,true,true,true","6024.700000047684,4861.200000047684,3995,3865.1999999284744",50,"dress,dress,dress,dress",100,12,0,type1,"gloves,gloves,gloves,gloves","shirt,coat,belt,necklace",50% type 1/50% type 3,27,14
"0,14,21,7","true,true,true,true","7704,3858.5,3151.2999999523163,2890.100000023842",50,"dish,dish,dish,dish",100,12,0,type3,"train,train,train,train","fork,knife,pot,oven",50% type 1/50% type 3,56,15
"50,75,50,50","true,true,true,true","5419.600000023842,4219.600000023842,2725.600000023842,1807.7999999523163",50,"pot,pot,pot,pot",100,12,0,type3,"pen,pen,pen,pen","doll,hammer,brush,toy",50% type 1/50% type 3,41,16
